,BTC,ETH,XRP,BCH,BSV,LTC,ADA,LINK,BNB,CRO,EOS,XTZ,XLM,XMR,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.104386819369753,0,0,0.0974895322628217,0,0,0,0,0.0361555662221513,0.0542128659839324,0.0270511513748786,0,0,0.0217130409531349,0,0,0,0,0.0225617809672115
ETH,0,0,0,0,0.162749488759441,0,0,-8.67361737988404e-19,0,0,0,0.100759244195846,0,0,0.0699994313117037,0,0,0,0,0
XRP,0,0.127169419457502,0,0.195142270232911,0.129887027365225,0.0436693916033216,0,3.46944695195361e-18,0,0,0,0,0.0490741478405531,0,0.0900534352997294,0,0,0,0,0
BCH,0,0,0,0,0.338348134158155,0.209751575580788,0,4.33680868994202e-19,0,0,0.0654454321110373,0.0087156387806178,0,0,0,0,0,0,0,0
BSV,0,0,0,0.0509146731294241,0,0.397993260255908,0,0,0,0,0.168590191673191,0,0,0.11421359838089,0,0,0,0,0,0
LTC,0,0.0313318939508849,0,0.0835438979099284,0.0830229006653943,0,0.0414968251879447,0,0,0,0.378443965226678,0,0,0.0542121673894218,0.0287131910397316,0,0,0,0,0
ADA,0,0,0,0,0,0.0333599986018529,0,0.153923331842819,0,0,0,0.0772982618401483,0,0,0.0912588151245798,0,0,0,0,0
LINK,0,0,0,0,0,0,0.230548114753419,0,0,0,0,0.482418405447544,0,0,0,0,0,0,0,0
BNB,0,0.171552984376195,0,0,0,0.149098677813384,0.062566088897264,0,0,0,0,0.0606678962824835,0,0,0.0216546168366949,0,0,0,0,0
CRO,0.509464877116329,0,0,0,0.104814295623127,0,0,0,0,0,0.0395206965880648,3.46944695195361e-18,0.0482501923396599,0,0.00224102547978297,0,0.0864490098599367,0,0,0
EOS,0,0,0,0.302455379565048,0.150308093683137,0,0.0282780891943174,0.000874359049262234,0,0,0,0.0162636242886237,0.0688807868832702,0,0.126958604465049,0,0,0,0,0
XTZ,0,0,0,0,0,0,0.0669643147771629,0.383639502633395,0.0412802039486906,0,0,0,0.117280266973656,0.0467387437573444,0.136525397101122,0,0,0,0,0
XLM,0,0,0,0,0,0,0.197273037253369,0.0519327276520244,0,0,0,0.137079712966228,0,0,0.143027954585709,0,0,0,0,0
XMR,0,0.00528959067237975,0,0.0519704446609148,0,0.201351515459425,0.026921310002915,0,0.246334809038647,0,0,0.0852781710777879,0,0,0.0279428957047667,0,0,0,0,-0.0340580316696017
TRX,0,0,0,0,0.177481645480402,0.11570372077966,0.0940883636245182,0,0,0,0.107962517949717,0.101460074221811,0.104066512987079,0.060464163694451,0,0,0,0,0,0.0315671174578882
BV010082.INDEX,0,0,0,0,0,0,0.0184536101877201,0.0122314516481305,0,0,-0.0436264428599401,0,-0.0288476770064445,0.0149767398073714,0.0242310084738315,0,-0.0171776412947958,0,0,-0.0093094354240845
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0.0198840871080353,0.0086216921221585,0,-0.0402496906978225,0,0.00376887127108993,0,0.00132458222896255,0,0.0341573768086602,0,0.0140685038012711,0.0016856027675075,-0.0257502844769083,0,0,0.00372143825320505,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,-0.00191184788534485,0,0,0,0,0,0,0,0,-0.00952748792661479,0,0,-0.132047094795225
VIX.INDEX,0,0,0,0,0,0,-0.0706668906859695,0,0.0523484188300527,0,0,0,-0.112086821947734,0,0,0,0,0,-3.33970711268951,0
