,BTC,ETH,XRP,BCH,BSV,LTC,ADA,LINK,BNB,CRO,EOS,XTZ,XLM,XMR,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.120121073846027,0,0.106591955788945,0.06625181334371,0,0,0,0,0.0293155498708105,0,0.00236501771034641,0,0,0,0,0,0,0,0.0138770811332212
ETH,0,0,0,0,0.110206774167349,0.299411889808416,0.064951172297296,0.0188650164759259,0,0,0,0,0,0,0.125133347835482,0,0,0,0,0
XRP,0,0,0,0.11571210432065,0.185876301350761,0.157364289376896,0.0382739220878106,0,0,0,0,0,0.00914324663860387,0,0,0,0,0,0,0.00359123475852266
BCH,0,0,0,0,0.270017843123656,0.297628324216479,0,0,0,0.0466520709868755,0.0892442366900028,0,0,0,0,0,0,0,0,0
BSV,0,0,0.0204601105010867,0.348315807762638,0,0.214813613103561,0,0.0354534576660514,0,0,0.0533213463200469,0,0,0,0,0,0,0,0,0
LTC,0,0,0.0174935282269774,0.50231172660758,0.0508769434159043,0,0.0273548905683198,0,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.0793390065360066,0,0,0,0.0105316497822817,0,0,0,0.20981992349708,0.399221437782842,0,0.189073381387767,0,-0.193091661460033,0,0,0
LINK,0,0,0,0,0,0,0.0620871648238422,0,0,0,0,0.764054813626013,0,0,0,0,0,0,0,0.01305948079832
BNB,0,0.0402803024378791,0,0.0895861093313253,0.0853475141857641,0,0.0926091697181463,0.119826092067853,0,0,0,0.00637779109519838,0,0,0,0,0,0,0,0
CRO,0.354073408139421,0,0,0.20408112404885,0,0,0,0,0,0,0.0853007565166491,0,0,0,0,0,0.0435785972342051,0,0,0.0170081337768584
EOS,0,0,0,0.278687879558238,0.0994738921194181,0.0716984535846076,0.0106392408133357,0,0,0,0,0,0,0,0.0396149582224008,0,0,0,0,0
XTZ,0,0,0,0,0,0,0.0305011332446076,0.573116159211657,0,0,0,0,0.0458629515492194,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0.157641098029023,0.0660469960865258,0,0,0,0.28662292010722,0,0,0.0409345392273074,0,0,0,0,0
XMR,0,0.0253731456827907,0,0.327342135251681,0,0,0,0,0,0,0,0.154538256904228,0,0,0,0,0,0,0,-0.0185127178739181
TRX,0,0,0,0,0.180415306879972,0,0.103246804829515,0,0,0.00198302143948663,0.142301545567991,0,0.125890763682323,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0241396467308441,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205091601889934
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.147075066765892
VIX.INDEX,0,0,9.13800503272379e-07,0,0,0,0,7.00888655107629e-06,0,0,0,0,0,0,0,0,0,0,-1.98154056634762,0
