,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,ADA,ETC,XMR,TRX,XLM,XTZ,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.162731873724231,0.00521338032745684,0.0906626150325299,0.048443422554978,0,0,0,0,0.0430421583649913,0,0,0.0161385678018667,0,0,0,0,0
ETH,0,0,0,0.163875890531217,0.0216070295597488,0.037482104100534,0.0110414060470579,0,0.142165842869749,0,0,0,0,0,0.0323790486634795,0,0,0,0,0
XRP,0,0,0,0.124382653699879,0.0431774263000034,0.00000000000000000173472347597681,0,0,0.160703939323013,0,0,0.0320938481442054,0,0,0.0147110847454462,0,0,0,0,0
BCH,0,0,0,0,0.260117648731527,0,0,0,0,0.0994516829829945,0,0,0,0,0.0847871010881825,0,0,0,0,0
BSV,0,0,0,0.47892723424559,0,0,0.21409042886754,0,0,0.0504533009884822,0,0,0,0,0.0516569583927661,0,0,0,0,0
LTC,0,0,0,0.244131817523334,0.0343539738510733,0,0.255312940822427,0,0.0338771808498263,0,0,0,0,0,0.0340160018724985,0,0,0,0,0
EOS,0,0,0,0.140227448120712,0.118862139946639,0,0,0,0.0277597764006301,0,0,0,0,0,0.0433978229080562,0,0,0,0,0
BNB,0,0,0,0.17129286079094,0.00616492301828063,0,0.0710676149161593,0,0.00185311623959164,0,0,0.0510464339690317,0,0,0.0698959069100837,0,0,0,0,0
ADA,0,0,0,0.0387619350827209,0.0477834901887459,0,0,0,0,0.109797396322189,0,0.278716016764051,0,0,0.016797580412006,0,0,0,0,0
ETC,0,0,0,0.215879844769346,0,0,0,0,0,0,0,0,0,0,0.397946863079564,0,0,0,0,0
XMR,0,0,0,0.0479309114237963,0,0,0,0,0.129542818555683,0.0750178997195104,0,0,0,0,0.135207630128075,0,0,0,0,0
TRX,0,0,0,0.233235678020284,0,0,0,0,0.0723974687756297,0,0,0,0,0,0.0488817509378234,0,0,0,0,0
XLM,0,0,0.502086005803464,0,-0.00602990806581384,0,0,0,0.0364237149009458,0,0,0,0,0,0.13522168149323,0,0,0,0,-0.0409390377007444
XTZ,0,0,0.134487007225322,0.0565922281961742,0,0,0,0,0,0,0.113406601083462,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.491287405896741,0.0962866078993857,0,0,0.217291466677995,0,0.00894960844651026,0.0912368393433523,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0000000000000000338271077815477,0,0,0,0,-0.0857547336702771
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.00333005921757925,0,0,0,0,0,0,0,0,0,-0.000601285580373331,0,0,0,0,-0.0628047130700038
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
