,BTC,ETH,XRP,BCH,BSV,LTC,ADA,LINK,BNB,CRO,EOS,XTZ,XLM,XMR,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.134561876689815,0,0.106269569053491,0.062532985291341,0,0,0,0,0.0302339865108196,0,0.0070091182724258,0,0,0,0,0,0,0,0.0216698091932506
ETH,0,0,0,0,0.0717466615909569,0.289707915541538,0.014881337898109,0.018609915647919,0.179154903369475,0,0,0,0,0,0.177890170474492,0,0,0,0,0.00115941712130095
XRP,0,1.73472347597681e-18,0,0,0.216381157974524,0.213224557062879,0.0466986076234157,0,0,0,0,0,0.0104028292472464,0,0,0,0,0,0,0
BCH,0,0,0,0,0.228180585988643,0.385266334360187,0,0,0,0.0560830004938579,0.145972683279385,0,0,0,0,0,0,0,0,0
BSV,0,0.0310080331959201,0.0231134069102998,0.292888033742349,0,0.244751558031595,0,0.031001383824055,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.0211796396433195,0,0.318242953424621,0.120458890879404,0,0.0455263522334272,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.158637376261527,0,0,0,0.124464199434088,0,0,0,0.156094343344315,0.194017172189416,0,0.206874640798037,0,-0.187033108330198,0,0,0
LINK,0,0,0,0,0,0,0.0760744256003223,0,0,0,0,0.728233641625162,0,0,0,0,0,0,0,0.00669725797292175
BNB,0,0.113957520769633,0,0,0.135810220358798,0,0.094249149285702,0.065517667903454,0,0,0,0.00275889709919896,0,0,0,0,0,0,0,0
CRO,0.246047784283525,0,0,0.110814223471612,0.0770198826390578,0,0.0204725907652367,0,0,0,0,0,0,0,0,0,0.0579066498646943,0,0,0.0275677919011409
EOS,0,0,0,0.174097582890249,0.130373468171749,0.0393529659890907,0.026170077079071,0.00106772593200011,0,0,0,0,0,0,0,0,0,0,0,0
XTZ,0,0,0,0,0,0,0.0191644090572089,0.572663375239592,0,0,0,0,0.0463930981535286,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0.178917274674177,0,0,0,0,0.338500387834591,0,0,0.101166863587122,0,0,0,0,0
XMR,0,0.0504484231251689,0,0.396961204235179,0,0,0,0,0,0,0,0.0745028970704684,0,0,0,0,0,0,0,0
TRX,0,0,0,0,0.180897860963388,0,0.104165125809739,0,0,0,0.14290970268693,0,0.126855900536967,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205090607828095
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,3.09347841353192e-08,0,0,0,0,0,0,-0.147076320740176
VIX.INDEX,0,0,0,0,-8.60990666161222e-06,0,0,0,0,1.69086356427327e-05,0,0,0,0,0,0,0,0,-2.32506007901326,0
