,BTC,ETH,XRP,BCH,EOS,ADA,LTC,XLM,TRX,NEO,MIOTA,XMR,DASH,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.141226361221013,0,0.10940773793469,0.0745479246011581,0,0,0.119930344783122,0.0275701490844801,0,0.131289954631375,0.00625322104500824,0,0.0405570708847638,0,0,0,0,0,0.118902355454563
ETH,0.155271556241485,0,0.161506671560268,0.162796795125983,0,0,0.426964828493428,-0.0168315725807007,0,0,0,0,0,0.029938888932757,0,0,0,0,0,-0.00794980045255501
XRP,0,0.249556686183132,0,0,0.118809335383048,0,0,0,-0.035879747547997,0.159082086892505,0,0.0698915491308977,0.0970829794099464,0.123953466522998,0.0348705900802173,0,0,0,0,-0.103455051930353
BCH,0,0.0842409689016453,0,0,-0.123032426566062,0,0.533396382828992,0.0203318073525096,0,0,0.116268861375096,0.234397860409849,0.0853396668262005,0.107243565114425,0,0,-0.387238271614568,0,0,0
EOS,0,0,0,0.556080400595621,0,0,0,-0.0082838500152815,-0.272464720593,0.0695842538532621,0,0.222337820983757,0.288839048932586,0,-0.151232626271128,0,0,0,0,0
ADA,-0.0831519789339777,0.408039845496133,0.305888941162645,0,0.0101316337736667,0,0,0,-0.00168622897721634,0.300158547224337,0.238696503670013,0,0,0.136564771240202,0.0115078533418354,0,-0.0958395361953243,0,0,-0.0292079995707654
LTC,0,0.465647644389257,0,0.142804756998473,0,0,0,0.142258276488607,0,0.0972824575553844,0,0,0.0183246308066038,0.0304680801171708,0,0,0,0,0,0
XLM,0,0,0,0.0742204603024963,0,0.240942749499329,0.102556834909702,0,0.0529636539884327,0.0320551527144479,0.25196966693017,0,0,0.136293205421277,0.0352960850173781,0,0,0,0,0
TRX,0.259557836617315,0,-0.728458350476734,0.776882011043458,0.264573632865279,-0.463142450019037,0.768169411656119,-0.171639272222955,0,0,0,-0.145770507284257,0.32935841075005,0,0,0,0,0,0,-0.0956872577873632
NEO,0,0.143604648153178,-0.0702161743537901,0,0.0735707184350447,0.0797466650735636,0,0.199205462124747,0.043531037574184,0,0.158533037889454,0,0,-0.0922406836820453,0.318520422454001,0,-0.447638389363714,0,0,0.121077305085414
MIOTA,0.100304610000658,0,0.254845751305508,0.403648214472723,0,0,0.0760234115495669,0,-0.0368926088383425,0.107535622609258,0,0.107221395395715,0,0,0.111163891100633,0,0,0,0,0.0619887978083669
XMR,0,0.714250390377908,0,0,0,0.161044426751725,0,0.0736827874683611,0,0.0536490555328101,0.141770943838332,0,0,-0.248326074807732,0,0,0,0,0,0.0399941007214949
DASH,0,0.148400962098262,0,0.300700259917777,0,0.0096296877290328,0,0.131039397285787,0.15192293588115,0,0.0771269128852161,0.0578282254077413,0,0.0377971947121284,0.01246866289124,0,0,0,0,0.0724376484978431
XEM,-0.335780051007091,0.818465750982834,-0.225285358061952,-0.289159292002124,-0.133716320619385,0.2580937660597,0,0.44403060162455,0.215204956594182,0.122410537397413,-0.0760175062335632,-0.130167048549038,0,0,0.265777381379041,0,0,0,0,0.0183338582942753
ETC,0,0,0.705039108060649,0,0,0.0841115141942533,0.0369437029078191,0,0.10231803968327,0.123719327363582,0,-0.266919222601805,0.0706843806487749,0.0741232779973139,0,0,0,0,0,-0.0643344640496643
BV010082.Index,0,0,0,0,0,0.023920553336839,0,0.0149828569846206,-0.00988954287933391,0,0,-0.0966912907422656,0.118033807875203,-0.0609712872981983,0,0,0.137986918765198,0,0,-0.0526292869339226
CVIX.Index,-0.106398494360081,0,0,-0.00637367544087588,-0.0437218186231345,-0.0338029230176445,0,0.101590417392521,0.00856959678308785,-0.0537631947632451,0,-0.158865873245034,0.207047228426294,-0.266454575533599,0.228342556443432,0,0,0,0,0.00812734440097671
DXY.Curncy,0,0.0122053522892301,0.0156459227053929,0,-0.00265189372397591,0,0.00359986338152357,-0.0452718455415469,-0.00295060238197438,0,0,-0.00212053005360802,0.0445266762628091,0,-0.0112866093287687,0.0741542597186778,0,0,0,-0.00195168789736952
SPX.Index,-0.104673318026809,0,0,0.0358974934535362,0.0307707276891786,0,0.00389641084312301,0,-0.0291078037843657,0.0275692226310001,-0.010395817773604,0,0,0,0.00699014571767821,0,0,0,0,-0.105421042660637
VIX.Index,0,-0.336362362699704,0.166848415165221,0.256600751101521,0.0899821192696298,0.075742411106014,0,-0.428305433757182,0.138242938432471,0,-0.0596397137513037,0,0.107541938850326,0.0640787386597994,-1.38777878078145e-17,-0.472153961934298,0,0,-4.39059397381652,0
