,BTC,ETH,XRP,BCH,ADA,LTC,XEM,XLM,NEO,MIOTA,EOS,DASH,XMR,TRX,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.103480134012907,0,0.0258631269698565,-0.0196007696268422,0.0976321463721459,0.113502306448459,0.0339902368203947,0.155255742546049,0,0.261627020169094,-0.0350622004686371,0,0,0,0,0,-0.0552582380093951
ETH,1.73472347597681e-18,0,-0.00543234254019423,0,0,0.187150439994273,0.0347913088386947,0,0.170138571049,0.0439286619006575,0.0200337254828923,0,0,0,0.157730253573423,0,0,0,0,0.103573394430092
XRP,0,0,0,0,0,0,0.119854809360086,0.318055935234978,0,0,0.360806506595924,0.213959393890754,0,0.0161182489549274,0.0910613715672756,0,0,0,0,0
BCH,0,0,-0.111662532629308,0,0,0,0,0.0296674214457452,0.241904425127629,0,1.73472347597681e-18,0.202426200115561,0.063348295723907,0.0182088843130419,0.179332934651382,0,0,0,0,-0.198542474553491
ADA,0,0.0590176079576009,0.223817456158068,0,0,0.0384670949143399,0.134575403399867,0.275653513172883,0.153631733686893,0,0,0,0,0.0695517918712851,0.113347084822193,0,0,0,0,0
LTC,0.151508892312605,0.139172369070257,-0.00537264280353327,-0.0363040350348755,0,0,3.46944695195361e-18,0,0,0.146260609827516,0.100105890464082,0,0,0.0237981867802904,0,0,0,0,0,0
XEM,0,0,0.165425034663815,0,0.0716952983149237,0,0,0,0.142123704647132,0.205333486593457,0.085242058540702,0.0862286875412956,0,-0.0220429698459199,0.190469028779966,0,0,0,0,0
XLM,0,0.0798066046276022,0.215158524862685,0,0.313781188118587,0.0996846457382787,0,0,0.0348176199709146,0.0874638184565653,0.0234813715086968,0,0.269995828913445,-0.205500259269262,-0.0926909529778965,0,0,0,0,0
NEO,0,0.793499817224404,0,0,0.0156863163862462,0,0,0.188811744854183,0,-0.0786459660587099,0.0321311689407107,0,0,0.054345335900912,-0.0839845874385822,0,0,0,0,0
MIOTA,0.457889354571935,0,-0.181872095053953,0,0,-0.0269535375831739,0,0.23389709089394,0.0855393955050633,0,0.410896997302955,0,0.199838129226157,-0.119683636049615,0.0530390056784653,0,0,0,0,0
EOS,0,0.0745077643396887,0,0.079975131495907,-0.041813452077072,0.325409528472589,0.0615078237972223,0.280447922518199,-0.0338913969506313,-0.0181385272542804,0,0,0,0.109961157273044,0.216655466009086,0,0,0,0,0
DASH,0,0,0.0671822470680383,0.0603779551271044,0,0,0.0100781990446632,0,0,0.06945102974173,0,0,0.154281146551976,-0.0035735064618892,0.214458619197781,0,0,0,0,0
XMR,0.143175037392354,0,0,0.0623790469732992,0,0.157977153991245,-0.0215648478023091,0.0784950800592658,0.298998340754046,0.0753121252264377,0,0.00947696496107,0,0.0713747683525869,0.12167735310381,0,0,0,0,0
TRX,1.15997213077203,0.977822520816046,0.102742735053295,0,0.374537047865637,-0.777521389830687,-0.575710145498717,0,-0.618135072553849,-0.0388480479119212,0.189542362040947,0.301254705576379,0,0,-0.000984164271123389,0,0,0,0,0
BTG,0.199137655461168,0,0.354770405888782,1.13770566679526,0.134211574422525,0.121116252812567,0.0391126468999152,-0.56873189746184,-0.0972818994359796,0.210034495996279,-0.441958505207395,0,0,0,0,0,0,0,0,0.229022539420371
BV010082.Index,-0.0348807861552124,0,-0.0116613382267939,-0.0398186158351295,-0.00766875811333133,0.0157819438426105,0.00150320713321797,0.00732873936037074,0,0.012014290354022,0,0.025960047876683,0.0262588492668541,-0.00615908215022301,0,0,0,0,0,-0.0421324117026305
CVIX.Index,0,0,0.0201523421364652,0,0,-0.0692200872874095,0.024173709560928,0.0198429486541557,-0.0573776767882018,0,0,0,-2.16840434497101e-19,-0.0159194478206025,0,0,0,0,0,0
DXY.Curncy,-0.00616877923308016,0,-0.00233723822274857,0,0,0,5.42101086242752e-20,-0.00213205875930431,-0.00282744585491257,-7.56911163020355e-05,0,-6.7762635780344e-21,0.0151859708250783,0.0095608681798799,-0.00883600843567516,0,-0.0247573734212092,0,0,0
SPX.Index,0,0.00865180095689624,0.00149198511980701,0.000821719425589801,0.000877051548138053,0,0.0025723479250142,0,0.00601963792186933,0,8.67361737988404e-19,0,0,-0.000605081884590523,0,0,0,0,0,-0.022730851444285
VIX.Index,0.155141118994394,0,0,-0.0653158297384565,0.031467884655047,0,-0.0422434872566015,-0.0910350041121396,-0.140088674597076,0.138130767954545,0.174446149630923,0,-0.087216299013515,-0.090823262262102,-0.0151380367556659,0,0,0,0,0
