,BTC,ETH,XRP,BCH,LTC,NEO,XLM,ADA,XMR,EOS,DASH,MIOTA,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.277651088858525,0.109368308237497,0.105678138300087,0,0.184116536072426,0,0,0,0.0216483979198328,-0.107519975457733,0.0379144729610206,0,0,0,0,0,0
ETH,0.146932056981332,0,0.095545189750134,0.204950113337643,0.144406732315117,0.171041632991177,0.346843992142506,0,-0.0683767705467957,-0.0696332761795483,0,0,0,-0.0787206768934503,0.139591146303833,-0.227323253466648,0.320923772621797,0,0,0
XRP,0,0,0,-0.0409032685273556,0.259405675031077,-0.169092767071028,0,0,0.184750588564945,0,0,-0.0191409673671686,0,0.497834322072501,0.3887981967793,0,0,0,0,-0.0385304139637177
BCH,0,0,0,0,0.176522789239071,0.300391481012187,0,0,0.073866015978451,0.0385695883984358,0.278256313734435,0.0813767304972859,0,0.0948177503813867,0,0,0,0,0,-0.0872188473587132
LTC,0.13485246925826,0.0473376667018424,0.0556166930705847,0.134458420473244,0,0,0.0292912722668623,0,0,0.130376888471607,0,0.0725496143306723,0,2.16840434497101e-19,0.0874069906604383,0,0,0,0,-0.0116065984043775
NEO,0.0236600068488468,0.601662304123138,0,0.110715901806001,0.102646452856669,0,0,0.0228107805267569,0.0240837456604762,0,0,0,0,-0.0992817043941307,0.309232507072531,0,0,0,0,0
XLM,0,0.127066700279295,0.0603183561672598,0.0927524714222176,0,0.0773898360029904,0,0.0462544195148911,0.111759739824685,0.00950847703312092,0.056590218890878,0.245612961419701,0.0232644289556376,0.071829874695449,0,0,0,0,0,0
ADA,0,0,0.0184574946647986,0,0,0.0204455713115003,0.0119473773127993,0,0.0354417500855939,0.0841245098796725,0,0.45332410502965,0.0977499676070363,0.0353117570848568,0,0,0,0,0,0
XMR,0,0,0.013097095974803,0,0.264520343495088,0.275382251031244,0,0.303353306774876,0,0.0512741718840161,0,0.0389340890492972,0,0,0,0,0,0,0,0
EOS,0,0,0.045588168061677,0.0362856546285975,0,-0.364135296624446,0,0,0.287339093762425,0,0.293625256631464,0,0.134484871895278,0.0609614708668273,0.361934472840818,0,0,0,0,-0.0405587444486481
DASH,0.173457182374994,0.148654535519699,0.184109743946519,0.23764826398953,0,0,0,0.0874422780625446,0.0634880683090546,0,0,0,0.0607617302972584,0,0,0,0,0,0,0.0750499186707102
MIOTA,0,0,0.119021633255697,0.300841381992745,0.133873705127086,-5.42101086242752e-20,0,0.0532386074804521,0.223072145671081,0,0,0,0.07509166103537,0.0106552535169345,0,0,0,0,0,0
XEM,0,0,0,0,0.30024480660845,0.11221686841842,0,0.207778087313602,0,0,0,0.150931248087264,0,0.185112356291036,0,0,0,0,0,0
TRX,1.52174081722073,0,0.322130127472911,0,-0.818209506540496,-0.466692196591282,0.0566514963953318,0,-0.24662720806709,0,0,0.205728923100282,0.0988875783091593,0,0.387738796950688,0,0,0,0,0.279785652851729
ETC,0,0,0.269531296561137,0.0413859630712629,0,0.286177819891694,0.159319790183445,0,0,0.190622692348481,0,0,4.33680868994202e-19,0.0529255783235168,0,0,0,0,0,0
BV010082.Index,0,-0.0581238585614621,0.0362510270216288,0.103815225585904,-0.0234967807800943,-0.0159582143925263,0.0092073375251884,-0.0346846230139343,0,0,0,0,0.00728467613864725,-0.0488411690241738,0.0480323561026588,0,0.212015606768425,0,0,-0.0370315925245819
CVIX.Index,0,0,0,0.0297484625639977,0,-0.0251465701439763,0,0.196077196807051,-0.0631243356252039,-0.0631837703779936,0,-0.114112097038654,0.0599132782945912,-0.0377540583657329,-0.00850986438530451,0,0,0,0,0.0596232632804386
DXY.Curncy,0,0.024797275470671,0.0233077862604779,0.00102324547846414,0,-0.000361507148282268,-0.034293559848405,0.0143121891849179,-0.0187965023781949,-0.02440034950386,0,0,0.00126595740546975,-0.00443729341049761,0,-0.04426433838874,-0.0452137667223379,0,0,0
SPX.Index,0,-0.0173793310644787,0.0019007244168081,0.00499801998312328,0,0,-0.0100499585456816,0,0.0226336051240391,8.67361737988404e-19,0,0,0.0243845473808796,-0.0547285570845144,0,0,0,0,0,-0.0835855373813968
VIX.Index,-1.16325015768781,0,-0.105034007997757,0.288306340963669,0,0.372236048894198,0.275019206374609,0,0,0.226152450694988,0,-0.250354582558617,0.171912272049983,0,-4.33680868994202e-19,-1.77735615319904,0.110756308267688,0,-3.02833085125792,0
