,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,XMR,EOS,DASH,MIOTA,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0131150193234454,0,0.207592246340467,0.111452091295281,0.0398796394215373,0.0547921401199716,0,0.0796635979437722,0.0321553640085875,0,0.102527962951213,0.055392614247237,6.7762635780344e-21,0,0,0,0,0,0
ETH,0.0416132126225152,0,0.12141746440528,0.124460034859711,0.0958904500493341,0.125535237490923,0,0.350038395958651,0,0,0.178378838592328,0,0,-0.148997764727797,0.116650144833812,-0.599929627233727,0,0,0,0
XRP,0,-0.229083777073625,0,-0.085860215656142,0.328294747077396,-0.0811010275543756,0,0,0.15583780026389,0,0.302418776996366,-0.0850280897542546,0,0.458108973694708,0.260393397795189,0,0,0,0,-0.105844702807034
BCH,0,0,-1.73472347597681e-18,0,0.17769096901983,0.302257447650927,0,0,0.0712287250120518,0.0366049099104027,0.281701807302536,0.0719657393829662,0,0.101251440301138,0,0,0,0,0,-0.0924980141450333
LTC,0.165516813297175,0.02827355217742,0.0594672163454281,0.139689539688795,0,0,0,0,0,0.146926257643654,0,0,0,0.0156879540015417,0.1666023671135,0,0,0,0,-0.0166171265867523
NEO,0,0.681682867121251,0,0.0584050745129853,0,0,0,0,0.0499959754953036,0,0,0,0,-0.0282369238231691,0.317660235367872,0,0,0,0,-0.0749307535336032
ADA,0,0,0.0196745271258058,0,0,0,0,0,0.0308233075285924,0.0812059625131323,0,0.421710428960626,0.0534182622129387,0.0624959320757232,0.0577522165163151,0,0,0,0,0
XLM,0,0,0.0345663055657491,0.00180281922048007,0,0.0186525715459521,0,0,0,0.04473292335741,0.174062139011696,0.156387193324011,0.0155802602962973,0.255719527966693,0.159127114577348,0,0,0,0,0
XMR,0,0,0,0,0.352877808280783,0.284686070344206,0.0333982794868612,0,0,0.0933947431280513,0,0.123814897774228,0,0,0,0,0,0,0,0.0842430173157418
EOS,0,0,0.0688815667987366,0.202986077190092,0,-0.313408729961452,0,0,0.19867275915669,0,0.277583748494721,0,0.112656799175147,0.0770524044049479,0.241380557445214,0,0,0,0,-0.0317560190009336
DASH,0.340743183830266,0.166341281865942,0.143209755741127,0.188814921723854,0,-0.089816928335556,0.0998150598789287,0,0.11603834381595,0,0,0,0,0.0300871095367647,0,0,0.192014714841238,0,0,0
MIOTA,0,0,0.0401132194856073,0.24656483101019,0.148516025844662,5.42101086242752e-20,0.0547407998656217,0,0.217079588390547,0,0,0,0.117705694184635,0.0557149486748962,0,0,0,0,0,0
XEM,0.0916319720725284,-0.116143737900466,0,0,0.3046517252195,0.142133926701313,0.295004852308547,0,0,0,0,0.0453332684851244,0,0.183223165619436,0,0,0,0,0,0
TRX,0,-0.0931076869084857,0.239959742505779,0.361088468471247,0,-0.212334527523203,0.0217027022742185,0,0.211847045668108,0,0,0,0.432774692380777,0,0,0,0,0,0,0
ETC,0,0,0.269531296561137,0.0413859630712632,0,0.286177819891694,0,0.159319790183445,0,0.190622692348481,0,0,0,0.0529255783235164,0,0,0,0,0,0
BV010082.Index,0.00979953910875045,-0.132831362741942,0.0214683949172826,0.0783976059804344,0.0443800124065507,0,0,0,0.00763653676199388,0,0.0888388370779473,0,0.032133432913981,-0.116990518547553,0.00780276431043823,0,0,0,0,-0.0387410786412977
CVIX.Index,0,0,0.0210215315051919,0.0235388968064427,0.0576077048963183,0,0.108281301954363,0,-0.0271854161414684,0,0,-0.122424601639181,0.0896626606552719,-0.045256922272199,-0.0913482066983055,0,0,0,0,0.041205278710469
DXY.Curncy,0.00489373799356557,0.0242428127445023,0.0246433235984108,0,0,-0.000629958591249014,0.01251748142998,-0.0338215387175871,-0.020691104508619,-0.0244575495914916,0,0,0.000763314466881141,-0.0044189011339431,0,-0.0466151177666381,-0.0417701193802047,0,0,5.42101086242752e-20
SPX.Index,0,-0.0200297669048784,0,0.00717945505393814,0.0235362500990152,0,0,-0.0133395014747585,0.0127216023984839,0.00997181171050397,0,0,0.0300055887665239,-0.0681030180457497,0,0,0,0,0,-0.0806838499816522
VIX.Index,-1.34229198165458,0,-0.0980639614679273,0.106985847477095,0,0.531858564933964,0,0.22400849251709,0,0.223691693114163,0,-0.264907504159051,0.179970103263917,0.225274556655696,0,-1.35287834199773,0.309720264373541,0,-3.39319375571005,0
