,BTC,ETH,XRP,BCH,ADA,BSV,LINK,LTC,BNB,CRO,EOS,XTZ,XLM,XMR,OKB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0972251615045337,-0.0425353397906113,0.0565141450963813,-0.0506492776330339,0,-0.0546444677444842,0.0555225133233679,0.180027117175884,0.15407659184684,0,0.0200886463231332,0,0.103108502455824,0.255352870989956,0,-0.04902899543137,-0.402245977381632,0,-0.0188157824434668
ETH,0.402444118952699,0,0.0681832999636992,-0.0619202064200837,8.67361737988404e-19,0,0.0784083406761408,0,0.152326158582835,0.0868128838904646,0,3.46944695195361e-18,0.0318369658765593,-0.0163128709187301,0.213737293502707,0,0,0,0,-0.0197154085271097
XRP,-0.140196140103912,0,0,0.227854746804077,0.0122408152558424,0.213550563590325,-0.0287301413694438,0.402749283398205,-0.0696409258233645,0.0960763447208383,-0.160094206105408,0,0.0928374446433771,0.00936937741537386,-0.140371157224475,0,-0.0483967908887981,0,-0.226421409915654,-0.0574050172820237
BCH,0,0,0.0563313645874446,0,0,0.181313194677263,0,0.421869331068487,0.0741524779700963,-0.0354772638775207,0.302187129222991,0,-0.073843478982794,0.136892260785087,0.0542597725920038,0,0,0,0,0.0123793024137731
ADA,-0.806414252070438,0.264249056314301,-0.0424848022996528,0,0,0.131668396519675,0.201856446269862,0.411185077466965,0,0,0.217992965046987,0.147681119587351,0.0715358963580013,0,0,0,-0.0284844177461529,0,0,0
BSV,0,6.93889390390723e-18,0.180586058694718,0.555236165321144,-0.0405951189196555,0,0,0.037466838066383,0,0,0,0,0,0.22426283451812,0.332214530361533,0,0,0,0,0.0573417189884513
LINK,0,0,0.545728915208864,0.951283500087802,0.323702595973056,0,0,-0.960031061234039,0,0.204642825083625,0,0.21604185684641,0.0964200710206771,-0.0628276975558949,0,0,0,0,0,0.138190609598368
LTC,0,0.0725156416544165,0.0822488856908697,0.288188263574375,0,0.0192811969508501,0,0,0.157785846088954,0.0236183397434764,0.170426498332249,0.100974858281549,-0.0135677986589048,0,0,0,0,0,0,0
BNB,0,0.448452902087162,0,0.0795073380247621,0.00983385227719132,0,0,0.0630062303560051,0,0.00992700093353321,0,0,0,-0.0361986361379921,0,0,0,0,0,-0.0151792857841302
CRO,1.22302494152934,0,0,0,0.0108521853863217,2.77555756156289e-17,0.0223140372689964,0,0,0,0,0,0,-0.0728320885105136,-0.362433077130729,0,-0.334794802322982,0,0,-0.0537307064200943
EOS,0.0498356096586193,-0.00715037712208701,0,0.568497898097112,0.0674581207899377,0.161064139532564,-0.0774361993908835,0.038334644979085,0,0,0,0,0.153729283733701,0,0,0,0,0,0,0.010568138767414
XTZ,0,0,0,0,-1.73472347597681e-18,0,0.439042304642559,0,0,0.175140614460073,0,0,0.194785984831054,0,0,0,0,0,0,0
XLM,-0.102621800528308,0.333065812906242,0.114616108232333,-0.0123404175920913,0.196737695782422,0,0.113198027028808,0,0,0,0,0.158582365790979,0,0,0,-0.20354786079288,0,0,0,-0.119101394635766
XMR,0,0.335645990889444,0.0955242700064167,0.314145405161299,0,0,0.0837892485487248,0,0.1266361528321,0.215925570748767,-0.448585820485954,0.157086319169894,-0.00261481842062934,0,0,0,0.0816474891750386,0,0,0.0203207101676946
OKB,0.124500327953147,0.101328056696869,0,0,0.0120688315891472,0.102332253039749,0.0394599217893119,0,0,0,0.381032627169403,0,0.0290695766733986,0.00885628004139049,0,0,-0.0126265275343509,0,0,0
BV010082.Index,0,0,-0.0222299914758278,0,0.0601445792174139,0,0.0279239681398581,-0.0789292694687978,0.0254168471846695,0.0380909386416153,0,0,-0.0684634319944283,0,0.0333623265715674,0,-0.0586188171022421,0,0.206893448140727,0.0127925847294419
CVIX.Index,0,0,0,1.12430661005857,-0.0626135633629451,0,-0.227694737127917,-0.568423404515278,0,0.139314839159937,-0.949800209173076,0.269134817931731,-0.135390533006144,0.126720008513825,-0.110819168806917,0,0,0,-0.616087116449174,-0.203564927584847
DXY.Curncy,-0.0769926117834348,-0.0485775855775305,0,0,0,0,0.00253841436586222,-0.00686197963064834,0.0222306259840445,0,0.0231637106876937,-0.0250640093724058,0.00245617213635514,0.01970348399728,0.0174572109634737,0,-0.0194690036402985,0,0,0.00622926016293644
SPX.Index,0,0.026738573980613,0.00505585890341018,0,0.00764198320262367,0.0810427298793034,0.0113996902408329,-0.0320672376174656,0,0.0816830018206263,0,0.0835054702174293,-0.0695661411409705,0,-0.0685281801447409,0,0.0446138875829295,0,0,-0.117616907444251
VIX.Index,0,0,0.221121135906243,0,3.46944695195361e-18,0.173586532037063,0.241461312188527,0,0,0,0,0,-0.949533120913426,0,-0.257090443784503,0,-0.351462116082706,0,-3.78733397515873,0
