,BTC,ETH,BCH,XRP,DASH,LTC,XMR,NEO,MIOTA,XEM,ETC,ZEC,ADA,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.071475227391173,0,0,0.320406863053689,0.202778111087453,0.0506500315739585,-0.38351774947552,0,0.0784319025988077,0,0,0.275447772625113,0,0,0,0,0,-0.0677088658173617
ETH,0.0293465494439039,0,0.00983169437284115,0,0,0.169134743235731,0.186777738815421,0.0355064984151716,0.00200738649887847,0.247949057108099,0,0,0.0312164342415118,0.0707531433562857,-0.00868438613017111,0,0,0,0,0
BCH,0.0547705151358008,0,0,-0.0824186721723793,-0.252255119534608,0,0.348162838815755,0.157822313404344,-0.284065253746486,0.0211768014994594,0.502797512088362,-0.240832294047426,-0.104761769223651,0.371741435919295,0.0639303991036249,0,0.341399685989074,0,0,0
XRP,-0.125998788528393,0.55304799881457,-0.0618701074399813,0,-0.0237599410461482,0.0823505245707369,0.297455722185607,0.0443601876765162,-8.67361737988404e-19,0,-1.73472347597681e-18,0,-0.0540378032074746,0.148050499086832,0.0132511925362527,0,0,0,0,-0.0902168626952657
DASH,0,0.140906808684083,0.15574880394774,0.0133116378810174,0,0.0861110662815944,0,0.0653361956074948,0,0.11941859014978,0,-0.0198768650246959,0.106559414259669,0.13416141663292,0.016168322417073,0,0,0,0,0.0950457563487146
LTC,0,0,0.0449099384163277,0.507204039971556,0.0966348353209543,0,0,0,0,0.316960660827502,0.185609671694416,0,-0.0565134359753352,0.0887663549814878,0.0201400898600098,0,0,0,0,0
XMR,0,0.0585365425087043,-0.00125009227779181,0.0688015681886689,0.0274689337258786,0,0,0.106165458996502,-0.146014125971055,0.240527254189414,0.199913138472588,0.216587581717833,0.20105872372864,0.0127481759403306,0.0343358157422697,0,0,0,0,0
NEO,-0.178724448602528,0.634956266486846,0,-0.104573360677969,0.0220659367417749,0,0.125268913216869,0,0.0430103755688264,0,0,0.127693298610449,0.0633958840442798,0,0.138512315727441,0,0,0,0,0
MIOTA,-0.602358381932821,0,0,0,0.060181337316154,-0.0592066751158642,0,0.278557737116359,0,0.411901469182858,0,0.143072907131151,0.176496312994574,0.350659349621275,0,0,0,0,0,0.0475200816521456
XEM,0,0.583622252015528,0,-0.00895470340654841,0,0.195351509588089,0,0.0734773033574155,0.112030043250993,0,0,0.159736535596138,0,-0.0386671007434932,0.0159069647495071,0,0,0,0,-0.2525234453401
ETC,0,0.505570144464371,0.349461045162608,0,-0.447237386067669,0.420777647521096,0.326205010576372,0,0.0849699793560135,-0.0637285960376325,0,0,-0.0247472214259085,-0.0800233275281865,0.0517670493098532,0,0,0,0,0.0639833548775642
ZEC,0,0,-0.057209674858281,-0.100911484450047,0.212892524067765,0,0.188564368347211,-0.0274489139712739,0,0.119411012257266,0.126958077029248,0,0.00162179415333777,0.148401212828145,0.0460250693398377,0,0.53733275456918,0,0,0.0644468299139214
ADA,0,0,-0.317146835542781,0,6.93889390390723e-18,-0.0989709265843855,-0.207815464614827,0.259130525517335,0.422565054685904,0.380068902100427,0,-0.127133441479596,0,-0.0974504330959366,-0.0939711570671295,1.22127655163621,2.18190419007476,0,0,0.203795907328126
EOS,0.542117778242989,0,0,0,0,0.0783558651341817,-0.543700755415026,0.00804331301714811,0,0,0.0770509615763648,0.798356172312254,0,0,0.085466739235227,0,0,0,0,0.0616872239752172
XLM,0,0,0.0413909120835042,0.640705261909948,0.167551415583672,0,3.46944695195361e-18,0.35476304539073,0.620508588621977,0,0,0,0.15497321352359,0,0,0,0,0,0,-0.621856721502451
BV010082.Index,0,0.0354733611413355,0.00064300412087428,0,0,-0.0950889702755806,0,0,0,0.0370885173909104,0.00188092235526996,-0.0145671392602405,-0.0278300508626293,0.0396563888034777,0,0,0,0,0,-0.00377100984547181
CVIX.Index,0,0,0.0632338029622733,-0.0554795352688315,-0.0831509165999662,0.00933071656885434,0,0,0,0.109718246447837,-0.0376893094058138,-0.0204841249265696,0.0488095726005422,0.00576493401527044,0.00795679447719767,0,0,0,0,0.130606835300814
DXY.Curncy,0,0,-0.00731806833193143,-0.0079740011570874,-0.027243245997086,0,0.00929155796965052,0,0.0103709903000805,0,0,0.0152269838131839,-0.0185404694637312,-0.00523223020906039,0.000505561184411814,0.0781289252363846,0,0,0,0.0124835947681965
SPX.Index,-0.00653580929291625,0,-0.00218715518506614,-0.00098678361629133,0.0109688888660179,0,0.00652519576905915,0,0.0052585714807838,0.00479527209489134,0,-0.0334798626658369,0.000409940045055546,0.00421306711670595,0.00142509618308495,0,-0.0120972326848471,0,0,-0.0361975052094292
VIX.Index,0,0,-0.0457522992325132,0,0,0.0959557337128973,-0.297225036673248,0.0147601898649177,0.364631404375212,-0.303467414754126,0,0.548396427731512,0.0942110839375883,-0.388996867322801,0.0964512018919042,0,1.01194450673832,0,0,0
