,BTC,ETH,XRP,BCH,ADA,LTC,XLM,NEO,EOS,MIOTA,XEM,DASH,XMR,ETC,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0114064869826972,0,0.265508884550811,0,0.0858811144323652,0,0,0,0,0.0167974327986055,0.147155607648604,0,0,0,0,0,0
ETH,0.0113612237249152,0,0,0,-0.0416166116938615,0.40551454185995,0.0793988479398155,0.162947330426791,0.112196561060561,0,0.174716950961521,0,-0.121763214900678,0.125471052753571,0.0400071722012503,0,0.182045756173612,0,0,-0.0493854000520579
XRP,-0.257518327003475,-0.256647093682555,0,0,-0.026691501215979,0,0.284108714146819,0,0.350273777513862,0,0.20115651282734,0,0.339067996029739,0.184420750818508,0.0652912290223674,0,0,0,0,0.0598004258680876
BCH,0,0,-0.076757257971475,0,0,0.124560764395578,0.0240589538732443,0.213013517291709,0.176318896340846,0,0,0.231665394924271,0.1472261997659,0.106208374075553,0,0,0,0,0,0
ADA,0,0,0.1462544589137,0,0,0,0,0.162559428543146,0.0260840288665914,0,0.257192357302355,0,0,0,0.0446227459723717,0,0,0,0,0
LTC,0.219976529084908,0,4.33680868994202e-19,-0.0669615613809486,0,0,0,0,0.0290133308187309,0.253496792080705,0,0,0,0.110357723882163,0.0283605483855407,0,0,0,0,0
XLM,0,0,0.201552772392697,0.0846983694948592,0.286156658166446,0.254231879577784,0,0.161768609224946,-0.0592160203630989,0.0862350104882657,0.0887678149302496,0,0.0368763674361113,0,-0.167410980109717,0,0,0,0,0
NEO,0.219629985372072,0.595172434665618,0.0440647253315507,0,0,0.0122727260690064,0.233006451141016,0,-0.0288454936706577,-0.0964187368066049,0,0,0.182026979507722,0.060323221262384,0,0,0,0,0,0
EOS,0.279556822215808,0,0.0495692709625793,0.237691593079909,-0.0203208191563689,0.0874999579180603,0.137810503451599,-0.152991799524997,0,0.166745564697921,0,0,0,0.162378039499027,0.157776420958911,0,0,0,0,0
MIOTA,0,0,0,0,-0.0952983297376745,0.499173839322262,0.16498535006671,-0.0749976558337879,0.0346557895046582,0,0.243093277203464,0,0,0.480747958191932,-0.01832798100756,0,0,0,0,0
XEM,0,0,0.32673707971137,0.117802617901057,0,0,0.120244268661161,-1.73472347597681e-18,0,0.194179590702636,0,0,0,0,0.0373391159725774,0,0,0,0,0
DASH,0,0,0,0.13048428546087,0,0,0,0,0.0608725898567995,0.0387335372051633,0,0,0.22255955575547,0.264352704914013,-1.73472347597681e-18,0,0,0,0,0.00402237265497031
XMR,0.109238321746369,0,0,0.188309836866267,0,0,0.0945035777292959,0.0398902530877016,0,0,0,0.184241761195905,0,0.13876332942586,0.0595729405874577,0,0,0,0,0
ETC,0,0,0.0979757803815201,0.0282013845684934,0,0.217164660746419,0,0,0,0.334101493527577,0,0,0.327511116501015,0,0.0647805944351428,0,0,0,0,0
TRX,1.08633777634419,0,0.257046342792373,0.236662210624416,0,-0.925952819798399,0,-0.350931691148393,0.202573196682833,0.498973948718349,-0.786166900665819,0,0,0.459625588808559,0,0,0,0,0,0.214539593334569
BV010082.Index,0,0,0,0.0124326520978588,-0.0288682689769359,0,-0.0370917331450082,0,0,0.0172824904319255,0,0,0,0.0162321015155536,0,0,0,0,0,-0.0351026403578297
CVIX.Index,0.00824934285822182,0,-0.0148431212108665,0,0.0660507642710185,0,-0.0365710720812468,0,0,0.019408780479598,0.0535110581038514,-0.0539796413923884,-0.0274595150933448,-0.0195219674341915,-0.0119684594544488,0,0,0,0,0.0355509198763005
DXY.Curncy,0,0.00449986083748688,0,0.00482845350895398,0,0,0,0,-0.0232046776691902,0,0,0,0,0,0.00300971199163131,0,-0.0146820785826587,0,0,-0.0196347336071478
SPX.Index,0,0,0.0168989055771095,0.0355729112015018,-0.0358403180333197,0,-0.00921918972955756,0.0574050029473003,0.0166105778237654,0,0.0209634417522496,0,-0.018056971695893,-0.0941720242133521,-0.001580871113195,-0.0599034460612595,0,0,0,-0.100404706559708
VIX.Index,-0.25234795081302,0,0,0,0,0.116142028305491,0,0.213034628031144,0.0645275021498119,-0.0790417386474624,-0.07512268121294,-0.175550889720907,0,0.184300101788316,0.0419208690229155,-2.01010365941518,-0.0393398588275096,0,-4.98009485698816,0
