,BTC,ETH,XRP,LTC,BCH,EOS,BNB,BSV,XLM,TRX,ADA,XMR,DASH,MIOTA,ATOM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0170268627067015,-0.114552124089313,0.0220834008528134,0.169065201503331,0.026034417024624,0,-0.00186368262282428,0,-0.016447958951282,0,0.469699252838073,0.0964530445570161,0,-0.032698860092756,0,0,0,0,0.127369939656125
ETH,0.299388011882,0,0.222563245215789,0,0.0562677675666073,0,0,0.0266786936903831,0.0103869473984211,0,0.126860671176268,0.0952678974440481,0.0740093615553024,0,0,0,-0.125432153812377,0,0,0
XRP,0,0,0,0.126704404368629,0,0.14840641813186,0,0.019074097119973,0,0.218134580895832,0,0.292371205782446,0,0.139439428098151,0.00486283589236898,0,0,0,0,0.0198186601660765
LTC,0.192011297850449,0,0,0,0.114234452740109,0.256937226836086,0,0.0456387430140299,0,2.77555756156289e-17,0.231749918533523,0.131733028144068,0,0,0,0,0,0,0,0
BCH,0.427613795697964,0,0,0.219311065300635,0,0.162827770177255,0,0.0853054338380364,0,0,0.166944758795378,0,0,-0.120189094214743,0.0278982891964703,0,-0.0672362783658741,0,0,0
EOS,0.2298687784604,0.751185469696762,0,0.285289266388569,0.204732814247051,0,-0.0599797147523425,-0.121321221104905,0,-0.0420179297599843,0.0190342954107951,-0.0791990737654732,-0.166656922663452,0.10944355917421,0.0204554084338069,0.557646451297273,0,0,0,0.0918133280418228
BNB,-0.586941366615549,0,-0.189920276142897,0,0.315590012764422,-0.0373818281830497,0,0,0,-0.043977772507615,0.266992370998411,0,0.339307238343263,0.195653684490174,0.0584536642725084,0,-0.000536922691667626,0,0,-0.00113046231486781
BSV,0.428153914632264,0,-0.195296757360769,0.261629974199058,-0.610602617724612,0.0600694289073981,-1.73472347597681e-18,0,0,0,0,0,0.928599754505446,0.234899881936811,0.0414734137901746,0,0,0,0,0
XLM,-0.0429771664392177,0.205093801623592,0.465290362641103,0,0.137372191717605,0.0340076728968705,-0.0926025178062936,0.0137313146434566,0,0.0223444756639475,0,0,0.0948781755593796,0,0.0678655692869436,0,0,0,0,-3.46944695195361e-18
TRX,0.139956255226608,0,0.225374992596291,0,0,0.396137241884429,0,-0.0142796080620804,0,0,0.0418909021748156,0,0.114872403651728,0.0931314916627828,0.0736251217197155,0.131348314956243,0,0,0,0.144653924523764
ADA,0,0.030797997859942,0.277932908110143,0.250642926485356,0.164866954850992,0,0,0,0.105114490405741,0,0,0.0311279748498161,0,0.0209946203971072,0.0270016652290973,0,0,0,0,-0.0027249462500123
XMR,0.4784289046498,0,0.0676927974266475,0.0627847634909849,0,0,0,0.0187906629228456,0,0,0.156798537636652,0,0.340297412266467,0,0.018710670830953,0,-0.138223517397168,0,0,0
DASH,0.212531978740886,0,0,0,0,0.0905171205730274,0.0775242177036817,0,0.264556508934226,0,0,0,0,0.180095483687025,0,0.0785268434997068,0.024165417447357,0,0,0
MIOTA,0.0914068386752103,-0.150895436851262,0.192392271921147,-0.128673740849559,-0.0751283204726356,0.217173807381089,0.215001252842622,0.0642680868806366,0.0188207500740926,0.0406542478900343,0,0.526409007847609,0,0,-0.00911473754094974,0,0,0,0,-0.0818347671662023
ATOM,-0.84035496320906,0,0,0.226276801138454,0.599587465828143,0,0.0443759811122672,0.259233207270135,1.10747930864346,0.208388502507821,-1.40774926529429,1.14265712183775,0,-0.384293547155875,0,0,1.9354785476668,0,0,-0.0269858707429108
BV010082.Index,0.265417063259365,0,0,-0.187412129941349,0,0.148942702666579,0,0,0,-0.287738961383048,0.0556285462111899,0,0,0.0583482940148261,0.0989663291880831,0,-0.08012454029395,0,0,-0.0110254727108485
CVIX.Index,0.0410581960617911,0,0.107522340702912,0.721761096617921,-0.320104834608338,-0.378191448957572,-0.373327763343373,0,0.524773435525584,0.194122247974499,-0.639667791518146,0,0.401222362537629,-0.217723619348641,-0.0779076677714046,-0.109932781437277,0,0,0,0.182506472729294
DXY.Curncy,0.0110934990503034,0.041975744486961,0,0,0,0,8.67361737988404e-19,0.00130226591357593,0,-0.024054495312812,0,-0.00674647343634448,-0.0240078556578586,0.00248967341657569,0.00623258872550559,0.0321914153054367,0,0,0,0.0147041807106062
SPX.Index,-0.00343365719688252,0,-0.0225201551611756,-3.98068985620467e-05,0,0.0300048312810627,0,-0.00595190529474756,-0.0164652440104005,0,-0.00773880085033231,-0.01502086692016,0,0.0126417269326886,-0.00901798294769903,0.033681518290058,0,0,0,-0.0579363481847001
VIX.Index,0,0,0.311613929514842,0,-0.152071292998791,0,0,0.0602959659423113,-0.420365547851357,0.31523568260438,0,-0.78990907199605,0.314030686776151,0.245966900075239,0.0626197452130623,0.076705641516015,0.35143932112704,0,-6.35120096061328,0
