,BTC,XRP,ETH,BCH,ADA,TRX,XEM,LTC,XLM,MIOTA,DASH,EOS,NEO,XMR,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0440459369362309,0,0,0,0,-0.016767945129927,0.0534921376247889,0.159301332690509,0,0,0.0894245283666277,0,0.169999404548361,0,0,0,0,0,0
XRP,-0.141236781246549,0,0.517331655702862,0.0793274783818056,0.0857355874577861,0,0.026471831273089,-0.033051592041617,0,-0.134076649729427,-0.197432873744011,0.219946517657822,-4.33680868994202e-19,0.333190280724213,0,0,0,0,0,0
ETH,-0.0778604498180056,-0.0378324718205942,0,0,0.0475386044355892,0.075162019222209,0.0444819945468009,0.14699359644452,-0.0826346491794874,0.041050262856318,0.0318981608763477,0.0916020634701983,0.192248463882192,0,0.0630792140496489,0,-0.292986308337348,0,0,0.198424372227178
BCH,0,-0.0850916038061787,0,0,0,0.01677738465106,0,0,0,0,0.192473150496561,0,0.151395476262442,0.166496570526934,0.202869349255552,0,0,0,0,0
ADA,0.147258672329645,0.200898836574062,0.254419154662023,0,0,0.0167293112293219,0.165566599835378,0,0.325077059481415,-0.0903507198167108,-0.0658994037391751,0,0.132659072349065,0,0.155096753091053,0,0,0,0,0.107942139312446
TRX,0.726345706812499,0.174953598662613,0.0435088644461512,0.108471753809058,0.221783589181989,0,-0.530972848710034,0.163905815894642,-0.191948144364974,-0.0746649019332891,0,0,-0.136262781714158,0.755485573655642,0.0198339942451749,0,0,0,0,0
XEM,0,0.217738659341862,0,0,0.0441557860351263,-0.0231647393572534,0,0,0,0.162687221807832,0.156607806148,0.116141772139077,0.141830555452711,0,0.0192081899516241,0,0,0,0,0
LTC,0.224785596077109,0.00605201075835632,0.213122870836294,0,0.00175079083587207,8.67361737988404e-19,0,0,0,0.189069596562739,0,0,0,-0.0639548555309723,0,0,0,0,0,0
XLM,0,0,0.086331486725004,-0.0435409348211141,0.367325761433776,-0.199233652073696,0,0.211954125271015,0,0.0600229787464762,-0.136948059485322,0.0677023972952237,0.0681036680940178,0.269711728499546,0,0,0,0,0,0
MIOTA,0.573055440014971,-0.136987879792866,0,0,0,-0.112819183780712,0,-0.0395017516295163,0.0797430326048923,0,0.00791953633247656,0.356878262265316,0.0652008510333659,0.384173227503017,0.0529171387556507,0,0,0,0,0
DASH,-0.0616602210561202,0.0617321098939071,0,0.180355800438109,-0.00731244031631552,-1.73472347597681e-18,0,0.184646535168026,0,0.0950247629983323,0,0,0.0765701435378255,0.101185203227349,0.012359627574178,0,0,0,0,0
EOS,0.063771017114472,-0.0614114300150061,0,-0.0350193147677553,0,0.164622062361849,0.0699910479405863,0.4117344684484,0.348035663381312,0,0,0,0.0157245795246026,-0.308222718323663,0.277304114133973,0,0,0,0,0
NEO,0,0,0.537578575979318,0,0.00170571977461895,0.0651756492766618,0.0399678791775325,0.163539450890935,0.0963955262736798,0,0,0,0,0,-0.0709311695019774,0,0,0,0,0
XMR,0.195648437098912,-0.0134287568689986,0,0.0451440087159118,0,0.0812370254700666,0,0.151016472497483,0.125160051061793,0.0481975383347347,0,0.0104996274878531,0.27793312493174,0,0.0474628887833492,0,0,0,0,0
BTG,0,0.185324033097314,0,1.15474030597341,0,0.167902980307461,0,0.519668437641356,0,0.13560352600781,-0.561850742281463,-0.702915852475354,0.0996733414123294,0,0,0,0,0,0,0
BV010082.Index,-0.0234327615380124,-0.0171580793685644,0,-0.0351240356677866,-0.00691678090378691,0,0.00732637932628585,0.0121672098078817,0.0117384306900957,0.0130793759903116,0.0178607374208268,0.00504079953259562,0,0.0127192811934131,0,0,0,0,0,0
CVIX.Index,0,0.0363825530802022,0.109249386299021,0.00572819208358099,0,-0.0325528812074746,0.0334871818181524,-0.0453246883966441,0.00360583315354414,0.00564775482783015,-0.0120587370920527,0,-0.0184356760867041,0,-0.0521061894962183,0,0,0,0,0.0898049806048258
DXY.Curncy,-0.0137168476959331,-0.00134139440033785,0,-0.00106924585950444,0,0.0109006294724578,0,0.00501767928229103,0,0,-0.00215081622719383,0,-0.0127568874045349,0.0223258963499549,-0.00715610707807213,0,0,0,0,0.00172473998202487
SPX.Index,0.00126692380717534,0.00231840348902272,0.0133049651180605,0.0018894273129131,0.00279901188174387,0,0.00182223209396934,4.33680868994202e-19,-0.00473060394230263,0.00107444771944672,0,0,0,0,0,0,0,0,0,-0.0246851510365361
VIX.Index,0.0879427290746878,0.040838903301812,0,0,0,-0.0495420551863197,-0.0599388420898593,0.00613436620643541,-0.0712868790608514,0.140197926356213,0,0.121173032302357,-0.121165984125357,-0.109566012535907,0,0,0.603592207858943,0,0,0
