,BTC,ETH,BCH,XRP,LTC,DASH,XMR,NEO,XEM,MIOTA,ETC,ZEC,ADA,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0720230387841589,0,0.277737354216569,0,0.193903864896808,0.0832996205265434,0,-0.387466823836272,0.0966505263705069,0.0298817187407877,0,0.264169722622289,0,0,0,0,0,-0.0889826678455086
ETH,0.0359254311427092,0,0.0109553681062567,0,0.167343119688114,0,0.187916931877824,0.0348037581715069,0.246478528926553,0.00000000000000000346944695195361,0,0,0.0337115165212481,0.0697851171203709,-0.00853120666175702,0,0,0,0,0
BCH,0,0,0,-0.197302987434642,0,0,0,0.161540478257093,0,0,0.46860161536692,0,-0.155796352497907,0.147139414434177,0.06935320175603,0,0,0,0,0
XRP,-0.124824600722728,0.537582650076448,-0.0614259496661515,0,0.0816583551550157,-0.027471463750315,0.311640852995796,0.0471546602746491,0,0,-0.00000000000000000173472347597681,0,-0.0571750411464182,0.146840834919989,0.0110943448596472,0,0,0,0,-0.101883179501978
LTC,0.269451212618717,0,0.0111229939106244,0.426544213241737,0,0,0,0,0.26947152595727,0.0490435175810323,0.198084689956445,0.0294718660314401,-0.0723853610692246,0.0473116394919421,0.0102035814362105,0,0,0,0,0
DASH,0,0,0.305877767538285,0,0.00000000000000000346944695195361,0,0.344434744799566,-0.324211066388668,0.00000000000000000173472347597681,0.0156481431009305,-0.164918881254806,0.652939227944929,-0.0573824768471581,-0.0731769463583897,0,0,0,0,0,0
XMR,0,0.0751471822256932,-0.00503933652562134,0.0545961687554966,0,0.0361979862138632,0,0.106002305421103,0.236141753334991,-0.150022936820402,0.198483558095534,0.221678625035663,0.192362536757292,0.0121700303445598,0.0333436645558935,0,0,0,0,0
NEO,-0.226196216358723,0.708511137737206,0.019528021931809,-0.1075870499061,0,0.00593640242750855,0.0903912095788336,0,0,0,0,0.153416950946355,0.0673186887446189,0,0.140110556017467,0,0,0,0,0
XEM,0,0.577454026637799,-0.00000000000000000010842021724855,-0.0230203569625096,0.208507382811745,0.0321018329962884,0,0,0,0.187040832547628,0,0.0806320765458628,-0.000000000000000000216840434497101,-0.0568642970768516,0.0657811982644059,0,0,0,0,-0.406274750003158
MIOTA,-0.662672622872724,0,-0.00000000000000000346944695195361,0,-0.036244358648735,0.0584341892760675,0,0.33060834659013,0.388932650398644,0,0,0.152203579206528,0.202790276984828,0.344196084134318,0,0,0,0,0,0.0317070187594058
ETC,0,0.408761402821351,0.389657687299421,0.0983852829625426,0.376172613783985,-0.391889742574006,0.165340298408209,0.0768908141165598,0,0.0509847128117615,0,0,0,-0.0597225871635546,0.0584943222821415,0,0,0,0,0
ZEC,0,0,0.0104847806682079,-0.162488875865422,0,0.205641774590942,0.351531755804847,-0.0232595220353605,0.075179017696229,0,0,0,0,0.0514437936689326,0.0557751302368839,0,0,0,0,0.0497224850915692
ADA,0,0,-0.317165850056972,0,-0.0988761148817394,0,-0.207767595207297,0.259098131822447,0.379990892420961,0.422572758679425,0,-0.127129600470646,0,-0.0974234950523062,-0.0939803408858813,1.22143938695415,2.18216718895863,0,0,0.203790454209093
EOS,0.439599595621772,0.156115259321452,0.00234238041611895,0,0.1282891278679,-0.060408094730414,-0.565528962924462,0,0,0,0,0.819910060779814,0,0,0.0804359321254174,0,0,0,0,0.0988838672057314
XLM,0,0,0.144213842364149,0.799750428627565,-0.705363957123599,0.0834189467288887,0,0.532435376655835,0,0.587654318160137,0,0,0.0697842448321301,0,0,0,0,0,0,-0.477150898721981
BV010082.INDEX,0,0.0278671378686542,0.00175540385237659,0.00266633187327066,-0.0930093644943004,0,0,0,0.0388458180096416,0,0,-0.0130428802701622,-0.0270458494199,0.0399797311048995,0,0,0,0,0,-0.00410369504082218
CVIX.INDEX,0,0,0.0379202975136034,-0.088026505340898,0,-0.0674645697913442,0,0,0.063236741464728,0,0,-0.0197869250076483,0.0414199412802239,0,0.010009883381018,0,0,0,0,0.109676140215644
DXY.INDEX,-0.000000000000000000867361737988404,0,-0.0057058919538873,-0.00829960042801897,0,-0.0276325892431525,0.0118766754120942,0,-0.000116832430932342,0.0142943003035491,-0.00824198718663346,0.0161498775577266,-0.0181876164554196,-0.00588228419471953,0.000189645378527353,0.0792223523114092,0,0,0,0.013222133527479
SPX.INDEX,0,0,-0.00219867421823188,0,0.00292523768481008,0.00991919286893417,-0.00000000000000000010842021724855,0,0.00199869264178876,0.0110487258753051,0,-0.0319813123154106,0,0.00369166121408887,0.00158368273660582,0,-0.00835214742776486,0,0,-0.0382032690744446
VIX.INDEX,0,0,-0.0890389377767624,0,0.306853004160593,-0.00662987078419662,-0.127079047716993,0,-0.425254348479925,0.296216109391077,-0.0846261056819567,0.354514480942842,0.0934307265552478,-0.22337379721498,0.098388635747556,0,0.958089755988157,0,-3.01100850005317,0
