,BTC,ETH,XRP,BCH,ADA,LTC,XLM,NEO,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0540904267041718,0,-0.112945049761195,-0.045939904168572,0.0232358428788065,0.0696135678858117,0.142714048768178,0.119862856575788,-0.0203272133276504,0.0763718931864708,0,0.22672555889083,-0.030487838965974,0,0,0,0,0,0
ETH,0,0,0,0,0.0156262201968383,0.326550751922929,0,0.183676408267205,0.0626484365782185,-0.0325469484944135,-0.012464447088362,0,0,0.026916818008752,0.294766677393255,0,0,0,0,-0.0116810025593239
XRP,-0.0934353197963785,0,0,0,-0.0790134561932891,0,0,0,0.31143265970351,0.213675808180917,0,0.0696645313141904,0.247413642640381,0.176850971551741,0,0,0,0,0,0.0101418578983355
BCH,0,0,-0.0762985636268881,0,0,0.133811333525192,0.05290512995862,0.188476602509371,0.199077163478526,0,0,0.325907218778432,0.103788621417748,0,0.0607372635883029,0,0,0,0,0.0590975037709804
ADA,0,0,0.170468825314282,0,0,0,0.0910323237666622,0.169447274733701,0,0.146485480439201,0.0133710086457845,0,0,0.0585927210053735,0,0,0,0,0,0
LTC,0.150233661338796,0.125019686075916,0,-0.052769670868354,0,0,0,0,0.0189268721974534,0,0.16914986710587,0,-0.0315508173612885,0.047595722156197,0.12493621744026,0,0,0,0,0
XLM,0.1290684662833,0,0.255783019327607,0.0320312689874273,0.238361021484519,0.0788036309364984,0,0.160592633999107,0,0,0.150127812592616,0,0.11656787191962,-0.191322198406202,0,0,0,0,0,0
NEO,0.212153226576244,0.121147851175153,0.0746463006173945,0.00115484608206042,0.0314018527601031,0.121579027074964,0.0749192312408411,0,0,0,-0.125140207780161,0.140276165806442,0,-0.0378940236139017,0.458969008281547,0,0,0,0,0
EOS,-0.135215116149855,0,0.0410670036033509,0.245984870436789,0.0264511992702135,0.204984954727091,0.179711808367772,-0.0475172477277303,0,0.0339864845966949,0.126357167039231,0,0,0.177730364142814,0.101309982854409,0,0,0,0,0
XEM,0,0,0.319347973570496,0.0656655823272768,0.0243185699055449,0,0,0.132529358648219,0.0468598834343217,0,0.170606518420055,0,0,3.46944695195361e-18,0,0,0,0,0,0
MIOTA,0.246901734602497,0,-0.127164264202965,0,-0.0513358263398274,3.46944695195361e-18,0.113619245349695,-0.22403002816465,0.362400237956298,0.246090996193954,0,0,0,-0.102672620208237,0.520887322017745,0,0,0,0,0
DASH,0,0,0,0,0.035825548233706,0.179066391035666,-0.00611611258077066,0,0.0728880300043277,0,0.0166883409838516,0,0.125823226780721,0,0.283207769582386,0,0,0,0,0
XMR,0.120503600949991,0,0,0.196994729587697,0,0.0282226268383986,0.101163502828532,0.0332668041368631,0.000193475404161654,0,0,0.233497122711682,0,0.0598121516656083,0.0330542853801601,0,0,0,0,0
TRX,1.14239190895905,0,0.218790744088002,0.373154652812305,0,-0.767265376810656,0,-0.491577431377768,0,-0.668008095077696,0.248424089710894,0,0,0,0.597026578878364,0,0,0,0,0.119230008102232
ETC,0.0815125216888354,0.186136965010981,0.102783964765868,0.139085373018508,0,0,0,0.112940080323713,0.0157756059345939,0.0800438793503258,0.210173315854388,0.0797029954334445,0.0577337527815045,1.73472347597681e-18,0,0,0,0,0,0.215852182856957
BV010082.Index,-0.042685006034318,0,0,0,-0.030324699164681,0.0210675306691903,0,-0.0116382417596884,0.00994993611096291,-0.0013420413298609,0.0114193884187156,0,0.0191397086836357,0,0,0,0,0,0,-0.00786958757112044
CVIX.Index,0.0293763156699815,0,0,0.00431480464172481,0.044990371854546,0,-0.00795031670788555,0.0286287375396333,0,0.0204332859626394,0.0292836860334956,0,-0.062513280932924,-0.0110192353515264,-0.0482303664169327,0,0,0,0,0
DXY.Curncy,0,0.0135642678085621,0.00460258373990993,-1.35525271560688e-20,0,0,-0.00938783658881901,0,-0.00931366891745551,-2.16840434497101e-19,0.00206274561421448,0,0,0.00685091818187425,-0.0166749933893878,0,-0.0218900507972845,0,0,-0.022487420032185
SPX.Index,-0.00158707760446574,0,0.00505552577304769,0,0.00654038133187484,0.0024697800895523,-0.0176244973592862,0.0163262365196412,0.00803499614921058,0,0,-0.00901277602883231,0.0104192759036535,0.00348468574648242,-0.0130457779472394,0,0,0,0,-0.0724425921596003
VIX.Index,-0.0688870488515042,-0.363162255713315,0.113739518457379,0.0499198559518724,-0.0389430825345113,0.0352774191850832,-0.149508698451173,0.173333342906357,-0.0812604675687658,-0.0739521597002714,0.145752620263833,0,0.278058832330526,0,0,0,0.810800052772492,0,0,0
