,BTC,XRP,ETH,BCH,EOS,XLM,LTC,BSV,TRX,ADA,MIOTA,XMR,BNB,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0.135005683158484,0,0,0,0,0.0902091572801329,0.24620100814354,0.144855995423945,0.0184136212225039,0.112847326130599,0,0,0,0,0
XRP,0,0,0.204588360312845,0.0407094405093262,0,0,0.214611682631442,-0.032042013240766,-0.0107057328051674,0,0,0,0.0761568664996921,0.0380771165599274,0.191348128408958,0,0,0,0,0.0465204955304591
ETH,0,0.193590602465828,0,0.0902703623416998,0.000601775511916684,8.67361737988404e-19,0.118284792370034,-4.33680868994202e-19,0.0174224784876203,0.0189294236733435,0,0.361824725142297,0.126653578073184,0.0505180074246288,0,0,0,0,0,0.0329172983209771
BCH,0,0.0631101054132935,0.442288259685498,0,-6.93889390390723e-18,0,0,0.188555310955257,0,1.03605492052077,0.099794915095888,-0.836941831350225,0.447559580117975,-0.188631878922759,0,0,0,0,0,-0.234269009104854
EOS,0,0,0.254427257185945,0.0540375626241882,0,0,0,-4.33680868994202e-19,-0.315036938389701,0.556514493119292,0,0,0.173666094550099,0.13606959956374,-0.0770096691878877,0,0,0,0,0.0412155629000088
XLM,0.608549614464166,0.155243778857898,0,0,0.0426897711269333,0,0,-0.00211584730063593,0,0.11915300088085,0.0765905054323732,0.111090946177033,0.0247129084394351,0,0.0417336502045671,0,0,0,0,0
LTC,0,0.0597409499790598,0,0.0452800298740691,0.2152806864091,0,0,0.0218870160892043,0,0.134587542576094,0,0.128938579036577,0.202023894918194,0,0.106354467399579,0,0,0,0,-0.102367380160209
BSV,0.19054656938301,-0.838665281647197,0,1.03366095887527,0.320918473422661,-3.58016944372438,-0.215632433699043,0,0.167123676568261,0.600807241443206,0.396593903799318,0,1.10921278488369,0.511782742401208,6.93889390390723e-18,0,0,0,0,0
TRX,0.303452633839691,0,0,0,-0.0296765813727889,0,0,0.00950665225776535,0,0.312682679184265,0.0842841005250907,0.186211523639926,0,0,0.0608001122264426,0,0,0,0,0
ADA,0,0,0,0.110816477319698,0.280521402908951,0,0,-0.011363889250996,0.268043857057313,0,0.141261452605339,0.129089702434325,0,0.0120943191924008,0,0,0,0,0,-0.00545485460122401
MIOTA,0,0,0,0.0136789805980885,0.181969585831402,0.211550808529029,0,0.0734725795779897,0,0,0,0,0.168422710948183,0,0.368354549440864,0,0,0,0,0
XMR,0.242795904391252,0,0.168583788452099,6.93889390390723e-18,0,0.0297235619956946,0,0,0.0274000569888903,0.394489295739211,0,0,0,0.233899658551745,0,0,0,0,0,-0.104828854368333
BNB,0,0,0.188395749279611,-0.0154902776168612,0.216438161292578,0,0,-0.0547404261233255,0,0.675423431295245,-0.134378299249817,0,0,0,0.158098482665688,0,-0.320741229609482,0,0,0
DASH,0,0,0,-0.0647869780540598,0,0.279775753233092,0.212571069730282,-0.00804961388548381,-0.224986208256926,0,0.201351840915833,0.471873624693232,0.194807278468051,0,0,0,0,0,0,0
XEM,0,0,0.120822313609212,0.215845719270839,-0.0695004584835861,0.497350983438669,0,0.0145274901779303,0.0598598837273157,0.0108911014728037,-0.0886507380536446,0,0,-0.0569183224765349,0,0.360475934580429,0,0,0,0.036507644748686
BV010082.Index,0,-0.108983367872615,-0.22842613009763,-0.0263553724976275,0,-0.0703948204269961,0.0968510355992678,0.00921335159121533,0,0,0.00849526196318928,0.0645555562877378,0.162810035911284,-0.00750221398291673,0.0887897597499754,0,0,1.16260584995108,0.0396182644888696,-0.0483212032055603
CVIX.Index,0,-0.200035597622058,0,-0.0291696568544119,-0.133230443824589,0.0222407382459546,0,0.0511727256790759,0,0.162586400196936,0.122509188401901,-0.0819460025912007,0,0,0.119317743285375,-0.524225913530988,0,0,0,0.0897166672275088
DXY.Curncy,0,0.00338795479932937,0,0,2.71050543121376e-20,0,-0.00562895033975413,0.0076016423738536,-0.0278730764736166,0,0,0,0.00604117959118591,0.01155533108467,0,0.0557577537781391,0,0,0,0.00768888894364462
SPX.Index,-0.0391327791765761,0,0,0,-0.0112471677776199,0,0,0.0123227637619951,0,0,-0.0286952990340314,0,-0.0208125774271793,0,0.0343775684371282,0,0,0,0,-0.120047380623075
VIX.Index,0,0.404159650839789,0,0,-0.0823816188995375,-0.34351768026215,0,3.46944695195361e-18,0,0,0,0,0,0,0.00363262594825909,0,1.25663978540778,0,-3.83705073644551,0
