,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,MIOTA,ETC,ADA,ZEC,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,6.93889390390723e-18,0,0.293188577341385,0,0,0,0.0971283173540278,-0.354413446075268,0.103884132039618,0,0.117351725330617,0,0.226923631467022,0,0,0,0,-0.0451588053534535
ETH,0.133889231654564,0,0,0.117666744156972,0.0897667748695914,0,0.0514398366255256,0.08973657135411,0.14460590667244,0.0329226946070056,0.108846806621342,0.0593394007650554,0,0,0.049859253009673,0,0,0,0,0
BCH,0.226556458502232,0,0,-0.0953770600806999,0,-0.329789637413877,0.0813694566234812,-6.93889390390723e-18,0.204041102694759,0,0.451895819886259,-0.110060063709187,-0.124746551063681,0.0615375781471485,0.208729949671151,0,0.0230127408073936,0,0,0
XRP,-0.178409742496757,0.641456585742471,-0.00517364077557142,0,0.047815801353337,0,0,-0.0842904987779161,0.419661334430606,0,-0.0429238396215192,-0.0398739658638162,0,0,0.101321522176654,0,0,0,0,-0.117501855467841
LTC,0.156541307902224,0,0.0286575977567939,0.445650608643067,0,0,0,0.310263630608054,0,0,0.200378496715572,-0.0378968469058915,0,0.0264801541693731,0.0958549515711526,0,0,0,0,0
DASH,0,0.327027308563972,1.73472347597681e-18,0,0.0781803614958111,0,-0.0131575874758523,0.0756365605399807,0.324107209639424,0,-0.0934335393277404,0.0384339795131616,-0.0575694467228687,0.00971665775920312,0.147244619991114,0,0,0,0,0
NEO,-0.0759116626490527,0,0.141052588806748,0,0,0.623994616143559,0,-0.177437238378079,0,-0.241288944112905,0.449787847114952,0,0.67793175129616,0.194438773679277,-0.114035113145841,0,0,0,0,-0.285096709424302
XEM,0,0.287268780752292,0,-0.174049025958345,0.13450401355357,0.0877637083794908,0.098894900742174,0,0.278891223205166,0.0958482191991179,0.0776627615756051,-0.0108321854581397,0.173198127320704,0.0302712085670185,-0.0789067396321362,0,0,0,0,0
XMR,0,0,0.0896199956800679,0.13475372573239,0.0614562612649269,6.93889390390723e-18,0,0.1330101936128,0,0,0.273940299387925,0.174906329504485,0.0214118945816696,0.0110698448784403,0.0209732335751356,0,0,0,0,0
MIOTA,-0.738607279093262,0,-0.177349459323622,0,0,-0.08719278506105,0,0.453763140235074,0.368058038054415,0,0.19963563375284,0.129876169772033,0.12458346909725,0.010634361972695,0.500900617469263,1.0646203655314,0,0,0,-0.0904029968896403
ETC,0,0.532382994114196,0.247464668304928,0,0.476702456840404,-0.493266230990701,0,0,0.264772951373624,0.0668592476598469,0,-0.0299981620870304,0,0.048209475912786,0,0,0,0,0,0
ADA,0,0.00608672515758369,-0.361320533980267,0,0,0.193842784331593,0.155482780775204,0.49989744401304,-0.250482978157451,0.306880991606383,-0.124905470621429,0,0,-0.191274866486939,0,0,2.51046785588094,0,0,0
ZEC,0,0.138244129238887,0.169764587050805,0,0,0.103006455683303,-0.0593741853885643,0.205022892631987,0,0.0636505463123517,0.16297368707337,0.0631212851893366,0,0.0538955539682642,0.0990859215937715,0,0,0,0,0.243907665856741
XLM,0,-0.489940411495148,0.40270666026603,0.936602287651173,-0.453917124319172,0,2.77555756156289e-17,0,0,1.28962137671595,0,-0.0887370527444402,0.716832490439675,0,-0.39867150973788,0,0,0,0,-0.596470801504327
EOS,0.333165987211041,0,0.122300910219604,0,0.0774087343200129,0,-0.0293803815859796,0,-0.607912902047333,0.0276087467873496,0,0,0.89524002865001,0.0486581252892262,0,0,0,0,0,0.17182924110207
BV010082.Index,0.00175437203298946,0,0.0242315872232555,0,0,-0.0556982379120213,0.0217060328758929,0,-0.0877668205268916,0.024340509000844,0.00616283361567339,-0.0065184022246348,0,0.00504860792567253,0.0296342295636791,0,0,0,0,-0.0141370556786082
CVIX.Index,-0.0150137671760061,0,0.0755805006869023,-0.0516438108561572,0,-0.120599879256849,-0.0278603946575827,0.0766623745136393,0,0.0248045858851619,0,0.0628220784119298,0,0,-0.00358232739006399,0,0,0,0,0.107606246146348
DXY.Curncy,-0.00672187175640243,0,0.020677076064141,0,0.00232193252560808,-0.0371755698099147,0.00450167948173105,0,0,0,0.000293738775119031,0,0.0150606171422345,0.00257563567061565,-0.00367200080230938,0.0141026334742822,0,0,0,0
SPX.Index,-0.00284191165915744,0,0.000863463132171764,-0.00947261134749069,0,0.00424267895341195,0.00249873433397885,0.00910136380612114,0,0.00824340572423115,0,0.00278080128977811,-0.0298631861516299,0.000374992557889579,0.00379483226497882,0.0162770921601901,-0.017545088216657,0,0,-0.0369395442606352
VIX.Index,0,0,-0.366010074961149,0.224879093747014,0.179724445872979,-0.157702920085546,0.127233123390448,0,-0.110471066704367,0,0,0.120320386297223,0.242615443521927,0.0752155196446475,-0.174874494390471,0,1.27988691775086,0,0,0
