,BTC,ETH,BCH,XRP,DASH,LTC,XMR,MIOTA,NEO,XEM,ETC,EOS,ZEC,XLM,ADA,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,-0.0866416075758628,0.455979946802955,0.137331142743585,-0.289911973765456,0,0,0,0.149443946478988,0.121142763705097,-0.0373840011133835,0,0,0,0,0,-0.0928738284739437
ETH,0,0,0.0204875978400263,0.156135524047299,0,0.0993741232218238,0.13849436328561,0,0.0547534252457318,0.137389460120063,0.0744456889872492,0.0693041322603768,0,0,0.0611793531769353,0,0,0,0,0
BCH,0,0,0,0,0.205254907906941,-0.587471612639678,0,0.258595886163597,0.465739751760442,0.23265888726976,0.251097789956951,0,0.080219058750453,0,0,0,0,0,0,-1.11963365099672
XRP,0,0.581074644193376,-0.0622957121022108,0,0,0.160291072974232,0.149977910062497,0.176508468540364,0.00759626380627387,0,-0.0115807240087978,0.0729234500289195,0,0.00898372321427254,-0.0999921207133393,0,0,0,0,-0.174999222097939
DASH,-0.309007136709488,0,0.12753393441392,0,0,0,0.684064030825026,0.169680282109612,0,-0.361851820220449,-0.776661988087638,0,0.614353109751951,0,-0.0522328669257507,0,0,0,0,0
LTC,0.262754397375828,0,-0.0758290960684944,0.28015538725304,0,0,0.0698907183845308,0,0,0.170608446408913,0.175188505072339,0.0318007504607879,0,0,-0.052641021767326,0,0,0,0,0
XMR,0,0.279080670809661,0,0,0,0,0,0,0.0999968715149644,0.220891935344045,0,-0.0270864106118283,0.213974608041525,0.00537725411508444,0.137735640098851,0,0,0,0,0
MIOTA,0,0,0,0.168460319784727,0,-0.254008564559583,0.360050685929742,0,0,0.704806761122935,-0.259972572411098,0.281257945027538,0.0905255503360787,0.0530713377251059,0.077074161714451,0,0,0,0,0.0139917959951742
NEO,0,0.0238251439409448,0.0555604166507167,0.00956331046922836,-0.0947798196925431,0,0,-0.240299839119942,0,0,0.156051198583286,-0.153085338084002,0.796578779378461,0.154707293332113,0.039122372054797,0,0,0,0,0
XEM,0,0.234453117073827,0,-0.0415541188738829,0.024079247961901,0.0777260611778636,4.33680868994202e-19,0.176920262214991,0.030447947537994,0,0.0125179787871703,0,0,0.0924534185431382,0.140536098987005,0,0,0,0,-0.206949027310727
ETC,-0.149789021893445,0,0.188480469429951,0.286157374174657,-0.401061364331699,0.161680558223751,0.0455313943957291,0.124510079334336,0.0809615392370378,0,0,0.038098980297987,0,0.0384719617971827,0.0528063553636881,0,0,0,0,0.0450935107534976
EOS,0.385918480079042,0.516754340777005,0,0,0,0,-0.573506528076573,-0.039391058122384,0.0870880505798345,0,0,0,0.619628092365425,0.0852271364854314,0,0,0,0,0,0.083453438068064
ZEC,0,0,0,-0.242367836809557,0.264151838043662,0.0304698990219611,0.247943683812134,0,-0.0196849003510865,0.197493209485216,0,0.0905051976332227,0,0.0378226853936574,0,0,0.0488936268208165,0,0,0.0774753925761898
XLM,0.0160317511237572,0,0,0.471232540942442,0.205507210099915,0,0,0.582310395316415,0.13183727264007,0,0,0.246169305398616,-6.93889390390723e-18,0,0.272512904037649,0,0,0,0,-0.592774241601908
ADA,0,0.0132129888159148,-0.00650215599868472,0,0.427163646104996,0.616970758025642,0,0.524600165457998,0.16522037805689,0.741495533869214,0,-0.0541946175291192,-0.902821312551101,0,0,0,1.26366893968651,0,0,0
BV010082.Index,0,0,0,0.0322293727552909,0,-0.0947729518944278,0,0.0140573527153486,0,0.00707542125510936,0,0.0382551154663394,-0.0125197736717058,0.0043669634622862,-0.0169258488826161,0,0,0,0,-0.016978833676339
CVIX.Index,0.0530425686031097,0,0.0377315945365296,-0.0942983160036791,-0.0355205652837948,0,0,0,-0.0139759826199845,0.0949250629403426,0,0,-0.0245760361355818,0.0178693528579063,0.0356681258128808,0,0,0,0,0.124997487156198
DXY.Curncy,0,0.0282870280871168,-0.00367923733619489,0,-0.0117270082896939,0,0.0153570462025322,-0.0151228732258439,-4.33680868994202e-19,0.00530488882572931,0.00514984127192029,-0.00618484212938616,-0.00222067311947011,0.00267610459157095,-0.0188634858152561,0.046371551550365,-0.0189576769095242,0,0,0.00892340538892422
SPX.Index,0,0,-0.00183834946339329,0,0,0,0.00310210732151184,0.00629050909468401,0,0,0,-0.00474956950920401,-0.0224132751280983,0.00215220978005761,0,0,-0.0261639202059763,0,0,-0.0312775143383678
VIX.Index,-0.380096095302825,0,-0.438607456645777,0,0.127606949468788,0.402424436932356,-0.281895538577046,0.230034286471805,0.122104005503025,-0.017830387139589,0.0929198116630059,-0.00754634640846114,0.072788183667677,0.0600700431353271,0,0,0,0,0,0
