,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0954789748313183,0.0320767218540198,0.283563212660814,0.0445516852865714,-0.0105598269181987,-0.00652282655864323,0.00908871963177724,0.192068582244286,0.0325583841415946,0.0655033664237937,0.188514708001878,0,0,0,-0.140422479241894
ETH,0,0,0.164275086701233,0.227066827276759,-0.0149017082661014,-0.0482478025168843,-0.0694152240990665,0.427535386760588,0.37087750545681,-0.414768952032157,0.222593058069884,-0.82805081482121,0.353630044330492,2.41913315723536,0,0
XRP,0,-0.22036380911999,0,0,0,-4.33680868994202e-19,0.184872802432569,0.1121269362381,0,0.28113915474497,0.151839276480653,0,0,0,0,0.15917205317763
LTC,0.619762999169823,0.0834835251155733,0,0,0.0045828669469553,0.00214744708259451,0,0,0,3.46944695195361e-18,-0.00950317499116006,0,0,0,0,-0.0601220146959453
XMR,0,-0.0938442836708545,-0.687924186595143,0.959631359427879,0,0.0543816631348445,0.44069100063531,0,0,0.725730966641113,0,0,1.07062743719545,0,0,0
ETC,0,-2.59255279846889,0.676230876213847,2.25670437927415,0.209373186742483,0,1.98656983638863,0,0.294617639018955,0,0.892262639799316,0,0.575791888362224,0,0,0
DASH,0,0,0,0,0.0514422722699256,0.0381873104505982,0,0.151797953922882,0,0.147280001817103,-0.130050806631802,0,0,0,0,-0.252245511209651
XEM,0,2.77555756156289e-17,-0.0245855165025584,-0.217482850797243,0.147506771380963,0,0.252445007660066,0,0.332445984354359,0.505486318671673,0.23675495646379,0,0,0,0,-0.195191335242937
DOGE,0,0,0.143834402201581,0,0,0,0,0,0,0.170200848551456,0.0551419218232586,0,0,0,0,0.0286235206783349
XLM,0.98314776377516,-0.289042246663764,0.551558313772327,-0.0461104346725135,-0.0187282249469693,-0.0642742788089221,0.114513569888781,-0.0151185547227566,-0.102027904676556,0,-0.0378663355330574,0,0.292064344626676,0,0,0.0996872140193594
DGB,-0.592097851883915,0.727679305616039,0.230079851223531,0,0.0534250712339235,0.118987025941656,0.0849586156661189,0,0,0.430464078472867,0,0,0.52829631349433,0,0,0
BV010082.Index,0,-0.0498747840399167,0.00351002725447514,-0.065981359989703,0.0262710132155231,0,-0.0337329490249612,-0.00780422009608026,-0.113856647579387,-0.0577952122404808,2.16840434497101e-19,0,0,0.709594695404859,0,0.0683188579555119
CVIX.Index,0,-0.0420447038149744,0,0,0,0.011878805235381,0,0,0,0.170105308136575,0.0809782185637095,0,0,0,0,0.151809529912281
DXY.Curncy,-0.0283128684467843,0.00335453128813756,0.0102951383790624,0,0.0049590715858644,0.00208206439051877,0.0205210942277685,-0.00633517088266649,0,0.0468261972470502,-0.0273477892133355,0.186903219386214,-0.0100538374281469,0,0,4.33680868994202e-19
SPX.Index,0,0,0.0085201455280372,0,0.00503807231826271,0,0.0238866408616223,0,0.0287940841204857,-0.00883708872201474,0,-0.0363963442687282,0,0,0,-0.062997742868249
VIX.Index,-0.570344129311493,-0.0586247870091712,0.202657276695628,0,0.0424599590262844,0.0490486458614293,0.213432683915467,-0.382758299047618,0.31479605740542,-0.300474366206883,0.21465934147318,0,0.814131348534132,0,-6.18066255303454,0
