,BTC,ETH,XRP,BCH,ADA,LTC,XEM,NEO,XLM,MIOTA,EOS,DASH,XMR,TRX,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.103480134012907,0,0.0258631269698566,-0.0196007696268422,0.113502306448459,0.0976321463721459,0.0339902368203948,0.155255742546049,0,0.261627020169094,-0.0350622004686371,0,0,0,0,0,-0.055258238009395
ETH,-0.0647682553795655,0,0.00804392301924079,0.0423003694019423,0.0139978997190629,0.237219338723714,0.00115775994398694,0.125439229913074,0,0.0722533891701628,3.46944695195361e-18,0.0191658805593398,0,0.0132228045945743,0.141994666382929,0,0,0,0,0
XRP,0,0,0,0,-8.67361737988404e-19,0,0.119854809360087,0,0.318055935234977,0,0.360806506595925,0.213959393890754,0,0.0161182489549274,0.0910613715672755,0,0,0,0,0
BCH,0,0,-0.111662532629308,0,0,0,0,0.241904425127629,0.0296674214457452,0,0,0.202426200115561,0.0633482957239071,0.0182088843130419,0.179332934651382,0,0,0,0,-0.198542474553491
ADA,0,0.0590176079576011,0.223817456158068,0,0,0.0384670949143398,0.134575403399867,0.153631733686893,0.275653513172883,-2.71050543121376e-20,0,0,0,0.069551791871285,0.113347084822193,0,0,0,0,0
LTC,0.151508892312605,0.139172369070257,-0.00537264280353327,-0.0363040350348755,0,0,0,0,0,0.146260609827517,0.100105890464082,0,0,0.0237981867802905,0,0,0,0,0,0
XEM,0,0,0.139811645879473,0,0.0536709773454495,0,0,0.123069070351466,0,0.205508484716113,0.0955802590902578,0.0809229344031468,0,-0.0447554218754133,0.187799542888877,0,0,0,0,0
NEO,0,0.793499817224404,0,0,0.0156863163862463,0,8.67361737988404e-19,0,0.188811744854184,-0.0786459660587105,0.0321311689407113,0,0,0.0543453359009117,-0.0839845874385822,0,0,0,0,0
XLM,0,0,0.127227997159545,0,0.353652475096312,0,0.0421563257517016,0.0165515454094721,0,0.0506477849011536,0,0,0.266810110492336,-0.198373313812806,0,0,0,0,0,0
MIOTA,0.535016350767226,0,-0.175426571836137,0,-0.0488497296212662,-0.0843300952639121,0,0.0857147553248504,0.303658218365647,0,0.379373826565904,0,0.213687443983934,-0.105534621588725,0.0659211771109108,0,0,0,0,0
EOS,0,0.0745126657025418,0,0.0799725070365406,-0.0418107734316846,0.325405465452137,0.0615169490147689,-0.0338888024924996,0.280439901361382,-0.018141029042472,0,0,0,0.109962045136391,0.216655436985386,0,0,0,0,0
DASH,-0.0263495553670269,0.0350104310340605,0.0545853103304887,0.0784755872298244,0.00614010774626233,0.251029699500667,-0.00876641568033497,0.038107853675034,0,0.0814739619050041,0.10598998938494,0,0.0851885617931754,-0.0312557478833061,0.0917899366072939,0,0,0,0,0
XMR,0.147567907742642,0,0,0.0713330068341762,0,0.159602910683209,-0.0210587184831483,0.295805780581439,0.074078123457664,0.0770058142611246,0,0,0,0.07218635028898,0.10698345333408,0,0,0,0,0
TRX,1.15080839137651,0.973824872645252,0.1030957623249,0.00315368019954876,0.373881604629736,-0.772329820171579,-0.578179323654835,-0.618460167048702,0,-0.0369554260437473,0.189559473413928,0.301285442480521,0,0,0,0,0,0,0,0
BTG,0.199137655461168,0,0.354770405888782,1.13770566679526,0.134211574422525,0.121116252812567,0.0391126468999151,-0.0972818994359797,-0.56873189746184,0.210034495996278,-0.441958505207395,0,0,0,0,0,0,0,0,0.229022539420371
BV010082.Index,-0.0215540775509264,0,-0.00915532510588378,-0.0381275545154852,-0.00359988423236563,0.0269901267822434,0.00327179551726486,0,0,0.0161151362250414,0.012186584667996,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0.0222493566224004,-0.00851412112607342,0,-0.0729496565213866,0.0229320044664001,-0.0544521995610549,0.0173274334057444,0,0,0,0,-0.0183710385095518,0,0,0,0,0,0
DXY.Curncy,-0.00509448306347719,0,-0.00329866484930038,0,0,0,0,-0.00083550738993963,-0.0023630143101111,0,0,-0.000574707144308663,0.0147873796195045,0.00942302828182024,-0.00891611097172462,0,-0.0310371629192707,0,0,0
SPX.Index,0,0.00828334484883875,0.00122265292856201,0.000919225344402574,0.0010879755757137,0,0.00285288865800171,0.00628311886675727,0,0,0,0,0,0,0,0,0,0,0,-0.0210311129450653
VIX.Index,0.0980338094362094,0,0,-0.0784456893681944,0.00454307191468629,0,-0.0474924512626848,-0.123523095395458,-0.0728029332193586,0.172238791178569,0.158023614828087,0,-0.0695991653460434,-0.0772420820139368,0,0,0,0,0,0
