,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,NEO,XMR,DASH,TRX,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.129743007218957,0.122768499593576,0.000977696674056221,0.0552720298567493,0,0.0685276589375721,0.186292266266026,0.0196216507209206,0,0,0.0388523651044758,0,0,0,0,0,0,0.0836489751782804
ETH,0,0,0.174904082608342,0.238051095069481,0.0133906217883546,0.30655489896898,0.0690003681120407,-0.0942953088642256,0.0783513274942269,0,0,0,0.049743074421386,0.105868893954817,-0.104839727178235,0,0,0,0,0
XRP,0,0.215682527099969,0,-0.0000000000000000277555756156289,0.13301880378592,0,0,0.240937957289079,0,0.109309520422862,0,0,0,0.0497657920351221,0.0456839607115493,0,0,0,0,-0.0876191036686527
BCH,0,0.419789986601578,0,0,0,0.260769402226084,0,0.211500093424266,0,0,0.0987638274844891,0,0.101794161029712,0.0118407456484523,0,0,0,0,0,0
EOS,0.283306156411721,0,0,0.157023579696053,0,0,-0.140902523073933,-0.0561548973960697,0,0,0.272480435542076,0.00404206456742939,0,0.0145092948260065,0.280413189563873,0,0,0,0,-0.174541782142761
LTC,0,0.118825148721202,0,0.221746848557846,0,0,0.0265006869897089,0.000000000000000000433680868994202,0.218254600043869,0.106282755688954,0,0.0429044716924726,0,0.0729197909893533,0,0,0,0,0,0.0329413474244411
ADA,0,0.3413934060681,0,0,0.162419782773242,0,0,-0.0000000000000000138777878078145,0.226253955921447,0.0575726052418132,0.177371938149504,0,-0.0692005142628163,0.185811897688296,0.0558798953044082,0,-0.327473442135608,0,0,-0.0140524124157343
XLM,0,0,0,0.0807498403513997,0.107635228288396,0,0.174755330958196,0,0.388309330251731,0,0,0,0.0332865223120907,0.241398920134313,0,0,0,0,0,-0.0161916220122153
MIOTA,0,0,0,0.27476703769823,0,0,0.146808459040871,0,0,0.289525000305306,0.0343920967555642,0,0.118756329946569,0.0843980596399766,0,0,0,0,0,0
NEO,0,0,0,0,0.00533428942833992,0.0253940942868902,0.0870441627379666,0,0.147018196551744,0,0.182376317997803,0,0,0,0.35077870038645,0,-0.459298084285463,0,0,0.0209194587249675
XMR,0.534232363076069,0.0389283322976621,0,0.18471962042167,0,0.512507239676486,0.0701530884864055,0.271152892121044,0.0645899472595116,0,0,0.140233346307202,0,-0.361912119187581,-0.15466279658522,0,0,0,0,0
DASH,0,0.130270222064112,0,0.302834716128906,0,0,0.0732170848480337,0.00000000000000000693889390390723,0.065758489264285,0.0506538770944021,0.0926156721627133,0,0.109964533310917,0.0434097691273378,0,0,0,0,0,0.0755205864675305
TRX,0.245689836495938,0,0,0.598183618561107,0.0385175658945655,0.481365683521431,-0.683679073385908,-0.422516267925682,0.211222016977692,0.316660849551017,-0.189497595226269,0.512903150306322,0,0.136682417026959,-0.290688721078849,0,-1.06432856512821,0,0,-0.32042165520056
XEM,0,0.497034355528173,-0.140505432946926,-0.458417605138717,-0.119399949944961,0,0.294533138215959,0.337294004060223,-0.0566667308895055,0.10620079935222,0,0,0.23408806248646,0,0.226561814894974,0,0,0,0,0.0181459367606343
ETC,0,0,0.516893093844839,0,0.100509355250565,0,0,0.103308296481485,0,0.182618246728787,-0.17628028602419,-0.0000000000000000138777878078145,0.161534330527475,0.105763586345494,0,0,0,0,0,-0.0741329046453538
BV010082.INDEX,0,0,-0.000000000000000000433680868994202,0,0.0285990695713172,0,0.0015904805852838,0.0237328403611215,0,0,0,0.0944664660558874,-0.0375886866306926,0,-0.0243589355038355,0,0,0,0,-0.0711408810423014
CVIX.INDEX,0,0,0,-0.0814723066831029,-0.0915458514768999,0,0.106167218650439,0.134101506495709,0,-0.0835019182269672,-0.0638131475795202,0.244499114691878,0.0526140762239191,-0.245701499866312,-0.0199443559225233,0,0,0,0,-0.0218168087891959
DXY.INDEX,-0.011818947038734,0,0.0224404878241402,0,-0.00508179007031346,0.0113650924561674,0,-0.0416386727808136,0.00000000000000000010842021724855,0,0,0.0481385978888826,-0.00453607711099736,0,-0.00883636925070209,0.0680289090970304,0,0,0,-0.00246846422372633
SPX.INDEX,0,-0.0420735828329072,0.00214149556091791,0.0303241721888232,0.0226123738964993,0.0458803258477861,0,-0.0296107270144178,0,0,0,-0.0201320881215542,-0.0180182117084714,0,0,0,0,0,0,-0.10792657458275
VIX.INDEX,0,-0.322132785707782,0.109340914010588,0.19984587180862,0,-0.0322813308154087,0.245869968404167,-0.481369008999107,-0.041883752001661,0,0,0.207993078264533,0.168565258956466,0.0265583312402488,0.0231354857169646,-0.442970579055383,0,0,-3.85323996839859,0
