,BTC,ETH,XRP,BCH,EOS,LTC,BNB,XLM,ADA,TRX,XMR,DASH,XTZ,MIOTA,BSV,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.00476895897551287,0.160513260133803,0.251411857761596,0,0,0,-0.0884202355350047,0,0.342430016934363,0,-0.0686511839409891,0,0.0376848176679401,0,0.101636534582657,0,0,0.0639922767732058
ETH,0.179041814674879,0,0.353419668502341,0.038893313784606,0.061294435832582,0,0.0285696179976399,0,0.0885742579601994,0,0.110370301724323,0.0709291573439712,0.0380748039583124,0,0,0,0,0,0,-0.0312935916824365
XRP,0.310047304109265,0,0,0,0,0.0976396858100437,0,0,0,0.290228428906084,0.095837879742342,0.0375079036117415,0.0669212602974378,0.0492134981364984,0.0246851199029023,0,0,0,0,0.013178740585403
BCH,0.773506173518964,0,-0.145297735788258,0,0.112722264929112,0.327565191772804,0,0,0.314169367161077,0,0,0,0,-0.129813044866913,0,0,-0.0560098879287812,0,0,0
EOS,0.0248478750941123,0.483268110602383,0,0.287524088875277,0,0,0,0.0417871534237061,0,0,0,0,0.0923979848950241,0,0.036970323250619,0,0.15109744522494,0,0,0.0951483634048499
LTC,0,0,0.0196830249305074,0.188888115062483,0.198715336013573,0,0.0565289495706674,0,0.204895911449528,-2.16840434497101e-19,0.0374905959305046,0,0.0577928188642394,0,0.15976810647779,0,0,0,0,0
BNB,-0.424745855298107,0,0,0.0215433124354353,0,0,0,0,0.0933734610201564,0,0.540960481688767,0.0209792067758979,0.0281612735105147,0.0457256400168856,0.30826626715213,0,0,0,0,-0.0298278176768209
XLM,0,0,0.436446607928722,0.0807729428195913,0.157861659672742,0,-0.144444949713801,0,0,0.179867972720612,0,0.083040215230089,0,0.102775443839298,0,0,0.0356642299224202,0,0,-0.0489744031279965
ADA,0,0.0365283515402531,0.429122558520496,0.23651935463248,-3.46944695195361e-18,0.165589794409753,0.0588795078824754,0.0326658566691384,0,0.0980434584766783,0,0,-0.00412031564196197,0.0337562470047299,0,0,0,0,0,-0.00854944643977886
TRX,0,0.0129932795561255,0.0469814112640512,0,0,0,0,0.366272598586534,0.0370047844863371,0,0.229985736748576,0,0.0632854222973848,0.0582722229917919,0.186274027620947,0,0,0,0,0.0956441957719911
XMR,0.324187645171067,0.211571553642591,0,-0.0902771344919562,0,0,0.052046560872057,0,0,0.237178758600177,0,0.306697575955813,0.06583271921933,-1.38777878078145e-17,0.182437557469979,0.0514142260524098,-0.168530503336096,0,0,-0.0112523700983353
DASH,0,0.297261613121436,0.0496553916086965,0.0805503173416472,0,0,0.0758142181372475,0,0,0.115073190483435,0,0,0,0.170557477796735,0,0,0.0775504437105935,0,0,0
XTZ,0,0,0.284749692927219,-0.164531920565998,0.697064837240749,-0.0297526868248798,0,0.751579031174849,-0.106904538295802,-0.0211013693779187,-0.402288596884303,0,0,0,0,0,-0.184170569083524,0,0,0
MIOTA,0,-0.0908409426274585,0,8.67361737988404e-19,0,0,0.206364586022488,0,0.0744953236141721,-3.46944695195361e-18,0.459952713177777,0,0.00463145935203557,0,0.11215952866312,0,0,0,0,-0.149234709889267
BSV,0.283588388220886,-0.0584326335419999,0,-0.747065705884048,0,1.38151873725308,0,0,0,0,-0.373159146996477,0.622956351724488,-0.0629570949255708,0.00251171793603203,0,0,-0.142209814107996,0,0,-0.0934969973354787
BV010082.Index,0,0,0.0659152412341122,0.124709467102952,0,0,0.115620829009071,0,-0.1697132165536,0,0.00228470587921363,0,-0.00929414320387675,0,0.00102830072104644,0,-0.0733939790674493,0,0,-0.0362857100688533
CVIX.Index,0,0,-0.241598858644281,-0.397488760646849,0,0.298711772201053,-0.344256141267019,0.772044398178792,-0.0103580039528149,-0.36389518492232,-0.307553932193403,0.837748021468411,-0.370853974748303,-0.0804079361802423,-0.0359690237527772,0,0,0,0,0.225172645358707
DXY.Curncy,0,0.0405326141019564,0,0,-0.0187381618179731,-0.0112024821467721,0,0,0.0309669362321298,0,-0.00387199994449115,-0.016102670871935,-0.0103346304873578,-0.0119151036341297,0.00174077289763675,0.00503842137216468,0,0,0,-0.00107410436301926
SPX.Index,-0.0132368515365657,0.0102978318463461,0,2.71050543121376e-20,0,-0.0437813268904736,-0.00643574581729064,-0.0279514182199349,-0.00373569907184153,0.0240383868199624,0,0,0.00768145235675826,0.00944363368949144,0.0197023790587395,0.0873945591396391,0.0126985213038089,0,0,-0.0756105775601067
VIX.Index,0,0,0.241819525568632,0,-0.0735565284001207,-0.0967811493632682,-0.031901866465874,-0.365337482033477,-0.137087284775203,0.751301082591183,-0.820539941039635,0,0.0211731924081745,0,0.189169023108034,-0.0535724636462548,0.041423445621347,0,-7.42875251214337,0
