,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,ETC,MIOTA,ADA,ZEC,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.327624750112183,0.0243381251692155,0,0,0.199755204148865,0.0123343009096913,-0.400483640681704,-0.00407961379301461,0.0898415373168193,0,0.244584668550373,0,0,0,0,-0.0267813043638262
ETH,0.112056367853694,0,0,0,0.154052488704825,0,0.0227488574670004,0.235311939199138,0.177940983261981,0,0.0396285849926222,0.0118093632964452,0,-0.0116315634112517,0.0433741996256222,0,0,0,0,0
BCH,0.0888001606489767,0,0,-0.0557733317537576,0,-0.30992946590803,0.145610111054898,0.0718981158839861,0.277486966775565,0.507657739503466,-0.21968269433502,-0.0705054816400544,-0.227362623221969,0.0563138965864216,0.338805196937366,0,0.420626965322823,0,0,0
XRP,-0.165620573865344,0.655543706813264,0,0,0.0380314465143384,0,-0.0112547248483917,-0.120750863191746,0.422213004327943,-0.0644111570998106,0,-0.0331394645901728,0.0770109389207113,0,0.0940205417652418,0,0,0,0,-0.116623802013439
LTC,0.323473980806296,0,0,0.390322133631747,0,0,-0.0421363622549938,0.233212954487133,0.0474045628949425,0.201430063709859,0.110108537572054,-0.111017053626691,0.061834997897358,0.00169006716384116,0,0,0,0,0,0
DASH,0,0.319142532360138,0.0626404038779496,0.0952405087064688,0.0702862476326627,0,0,0.0116154464279477,0.102482092462175,0,0,0.0808537061245139,-0.0589720097877482,0.0323542789896498,0.143445930126986,0,0,0,0,0
NEO,0,0,0.0592965530197346,-0.10019440062004,0,0.441337053064306,0,0,0.147543972960198,0,-0.00406794250441777,0.174268372245245,0.195144477933983,0.155396899690152,0,0,0,0,0,0
XEM,0,0.293512466252641,-0.0330428310345481,-0.105049804762041,0.136097524868296,0.123283215479607,0.0883908127495438,0,0.280575997433369,0.0882651526550305,0.0852578683846913,-0.0246833947620025,0.150710655404964,0,-0.0739603290302232,0,0,0,0,0
XMR,0,0.0585365425087045,-0.00125009227779177,0.0688015681886689,-0.00000000000000000346944695195361,0.0274689337258785,0.106165458996502,0.240527254189414,0,0.199913138472588,-0.146014125971055,0.20105872372864,0.216587581717833,0.0343358157422696,0.0127481759403307,0,0,0,0,0
ETC,0,0.499817933570309,0.369620701357041,0,0.189647275849737,0,0,0,0,0,0.118693706783134,0,0,0.0884285660011518,0,0,0,0,0,0
MIOTA,-0.517595386888946,0,-0.0435436939864262,0,0.000000000000000000867361737988404,0,-0.209875447603155,0.69637397789234,0,0,0,0.102344207779699,0.208552218960863,0.0897119744056531,0.453306514553013,0,0,0,0,0
ADA,0,0.0961941079051384,-0.30322040289241,0,-0.229299991340976,0.322981833652474,0.229614242625075,0.575378863092705,-0.486275726274886,-0.110959025580199,0.268937015928934,0,0,-0.111415948917369,-0.0197200257922165,0,2.15015382952297,0,0,0
ZEC,0,0,0.0479667631912758,-0.0618235368178733,0,0,-0.0382444438521539,0.162040949863298,0.312437508400827,0,0,0.0577192847320567,0,0.0420141568288846,0.0988734646584987,0,0,0,0,0.143202021930465
XLM,0,0,0.28973227795138,0.744540922663743,0,0,0.0528265361768151,-0.0849348297840089,0,0,0.951020083090845,0.0811797463446988,0.345209163986709,0,0,0,0,0,0,-0.607147316339845
EOS,0.485114510089592,0,0,0,0,0,0.0220133745095105,0,-0.521944710617582,0,0,0,0.877973888077673,0.0775448832693123,0,0,0,0,0,0.102888330067878
BV010082.INDEX,0,0.0282531506798374,0,0.0215397532205501,-0.036523849781231,0,0.0216741028786798,0,-0.0740322922243525,0,0.0123841960042372,-0.00712780923978105,0,0.00607105284509076,0.0267827485619122,0,0,0,0,-0.0316190819551946
CVIX.INDEX,0,0,0.0934618177400168,-0.0372623374180878,0,-0.0930953728438498,-0.0180807558066381,0.0637187638201052,0,0,0.0329494245992122,0.071753672685881,-0.0145302600764779,-0.00718924498340766,-0.00971442534653067,0,0,0,0,0.0962931585339986
DXY.INDEX,0,0,0,-0.00566403106615127,0,-0.0312170997521388,0.00921525659074614,0,0.00152207124181266,0,0,-0.00782413560427002,0.0130610542442666,0.00166442488610108,-0.00246114136195829,0.083121399780577,0,0,0,-0.00315925483964289
SPX.INDEX,0,0,-0.00132860303752966,0,0,0.0112330863454299,0,0.00415996266678637,0,0,0.00611695553289534,0.00144870199889067,-0.0316954466012337,0.00179903711606431,0.00360481797676452,0,-0.0139117312218128,0,0,-0.0391420523440953
VIX.INDEX,0,-0.0240777765984914,-0.251637095323606,0.206955106130514,0.183695350199178,-0.0429453044060951,0.107461108940251,-0.199245224836374,-0.0700724781473503,0,0.120599837748314,0.11615341131674,0.0550572447984049,0.0728844263934895,-0.0713453037009397,0,0.831693606483656,0,-5.20081586429752,0
